"","sGARCH-norm","sGARCH-std","sGARCH-ged","sGARCH-snorm","sGARCH-sstd","sGARCH-sged","sGARCH-jsu","sGARCH-ghyp","eGARCH-norm","eGARCH-std","eGARCH-ged","eGARCH-snorm","eGARCH-sstd","eGARCH-sged","eGARCH-jsu","eGARCH-ghyp","gjrGARCH-norm","gjrGARCH-std","gjrGARCH-ged","gjrGARCH-snorm","gjrGARCH-sstd","gjrGARCH-sged","gjrGARCH-jsu","gjrGARCH-ghyp","apARCH-norm","apARCH-std","apARCH-ged","apARCH-snorm","apARCH-sstd","apARCH-sged","apARCH-jsu","apARCH-ghyp","csGARCH-norm","csGARCH-std","csGARCH-ged","csGARCH-snorm","csGARCH-sstd","csGARCH-sged","csGARCH-jsu","csGARCH-ghyp","iGARCH-norm","iGARCH-std","iGARCH-ged","iGARCH-snorm","iGARCH-sstd","iGARCH-sged","iGARCH-jsu","iGARCH-ghyp","TGARCH-norm","TGARCH-std","TGARCH-ged","TGARCH-snorm","TGARCH-sstd","TGARCH-sged","TGARCH-jsu","TGARCH-ghyp","AVGARCH-norm","AVGARCH-std","AVGARCH-ged","AVGARCH-snorm","AVGARCH-sstd","AVGARCH-sged","AVGARCH-jsu","AVGARCH-ghyp","NGARCH-norm","NGARCH-std","NGARCH-ged","NGARCH-snorm","NGARCH-sstd","NGARCH-sged","NGARCH-jsu","NGARCH-ghyp","NAGARCH-norm","NAGARCH-std","NAGARCH-ged","NAGARCH-snorm","NAGARCH-sstd","NAGARCH-sged","NAGARCH-jsu","NAGARCH-ghyp"
"1",1.65729604058621e-06,1.92433765351177e-06,1.87790352041511e-06,1.6421174808955e-06,1.89658856814936e-06,1.88876315026305e-06,1.88684082902751e-06,1.89289461634731e-06,1.54050310510956e-06,1.79827855577319e-06,1.74921341043647e-06,1.50367138310295e-06,1.75775069374816e-06,1.73555547604189e-06,1.74105043347361e-06,1.74021712722987e-06,1.47415888410194e-06,1.69684306419608e-06,1.66114289422832e-06,1.43856387204579e-06,1.65065849362648e-06,1.64505557207921e-06,1.63542271310294e-06,1.63721934317765e-06,1.47310495901272e-06,1.53404510477167e-06,1.66787816342239e-06,1.42561932020779e-06,1.53857519751724e-06,1.679749352007e-06,1.53460177198787e-06,1.51812359920779e-06,1.59237401511015e-06,1.82287670535481e-06,1.79104498720357e-06,1.56227733247119e-06,1.82924411689925e-06,1.79634138067293e-06,1.77044772113571e-06,1.86472887655445e-06,1.76895409743114e-06,2.08497766961539e-06,2.03533065859542e-06,1.76307991976496e-06,2.06687675066128e-06,2.05901931527558e-06,2.06419190954452e-06,2.06563075285038e-06,1.48602678055182e-06,1.70889249085219e-06,1.67498206921348e-06,1.45309133840973e-06,1.67268581034522e-06,1.66254508622054e-06,1.65949959756783e-06,1.6598437498253e-06,1.32910671264173e-06,1.85859052023271e-06,1.45465929655584e-06,1.56395852408071e-06,1.49994240845269e-06,1.47626997114673e-06,1.4596510324173e-06,1.48649502379967e-06,1.58348503213061e-06,1.73590608151042e-06,1.79104243794165e-06,1.55262107383661e-06,1.7230997193355e-06,1.79136016511203e-06,1.72012611556154e-06,1.7977040146536e-06,1.26767548699024e-06,1.44786803942402e-06,1.42154060485711e-06,1.24346333915003e-06,1.40735755799668e-06,1.40663069756712e-06,1.39699358267348e-06,1.39776740729133e-06
"2",9.40370894384449e-07,1.1892199422766e-06,1.14662293310659e-06,9.26652066807095e-07,1.1637303365259e-06,1.15654370960383e-06,1.15472981106856e-06,1.16026587314493e-06,8.18380453592498e-07,1.0536588137571e-06,1.01060652360042e-06,7.85171349837794e-07,1.01742288340887e-06,9.98378767912079e-07,1.00252937291598e-06,1.00177117479454e-06,7.8007704971646e-07,9.88861662044161e-07,9.55822474890198e-07,7.47890668069941e-07,9.45911981095673e-07,9.40888653482871e-07,9.31519481044097e-07,9.33381245008783e-07,7.94688242588043e-07,8.55865763162969e-07,9.8125886742267e-07,7.47799306552738e-07,8.633902366406e-07,9.89213979973371e-07,8.57058508445941e-07,8.41027514745542e-07,8.79837822806047e-07,1.09602353311721e-06,1.06244899880819e-06,8.51224408112275e-07,1.10916175079664e-06,1.07147612523681e-06,1.04919484740512e-06,1.15220537456075e-06,1.0243633121619e-06,1.33076096543376e-06,1.27802248725096e-06,1.01950026516432e-06,1.3145223955171e-06,1.2997905854686e-06,1.30981735717269e-06,1.31120347483485e-06,7.55993665226888e-07,9.57668869138382e-07,9.2890423260123e-07,7.26672559011014e-07,9.25612375262085e-07,9.17852196310493e-07,9.14220660788169e-07,9.14657498677028e-07,5.79127295166763e-07,1.12745682364502e-06,7.3418885759265e-07,8.51771755064315e-07,7.3314480004749e-07,7.30322071546878e-07,7.23394148181317e-07,7.20812158396319e-07,8.97880277362472e-07,1.03199232277024e-06,1.09315305812751e-06,8.70978604789201e-07,1.03918283386761e-06,1.09356302688093e-06,1.0311333738847e-06,1.09677155391577e-06,5.8024425266277e-07,7.48526365275735e-07,7.23807049954928e-07,5.58288028536305e-07,7.10765622063199e-07,7.0992571176744e-07,7.00894940304617e-07,7.01466441500245e-07
"3",2.07325200508581e-06,2.32442378357504e-06,2.28265239975081e-06,2.05920900572495e-06,2.2986822171918e-06,2.29281164959274e-06,2.28987905557311e-06,2.29556537827901e-06,1.91768322095486e-06,2.15465037590838e-06,2.11022027257793e-06,1.88330086139371e-06,2.11813798523208e-06,2.09776644351878e-06,2.10281500039393e-06,2.1016677235993e-06,1.86903617230125e-06,2.07610828247239e-06,2.04307251742195e-06,1.83560122063825e-06,2.03364659564707e-06,2.02819711529394e-06,2.01928163227227e-06,2.0206685411102e-06,1.88013656914018e-06,1.94675034371555e-06,2.05987756956809e-06,1.83117083968525e-06,1.94954680841629e-06,2.06616524569374e-06,1.93942978508772e-06,1.92751893609478e-06,2.02020924070772e-06,2.24079357114481e-06,2.21121637077077e-06,1.99201207820295e-06,2.25223275986203e-06,2.21776564527242e-06,2.19207730826257e-06,2.28620583745728e-06,2.16055087070328e-06,2.46569377672103e-06,2.41449485317959e-06,2.15511739188241e-06,2.4491473611121e-06,2.43616773209822e-06,2.44461917337341e-06,2.44589101676179e-06,1.85939723168303e-06,2.06112529859756e-06,2.03150772509897e-06,1.82903329731468e-06,2.0286537379787e-06,2.02021862762319e-06,2.01663672087841e-06,2.01662129885639e-06,1.71491670457754e-06,2.21058544071891e-06,1.84913847057611e-06,1.93927006789947e-06,1.86846890136968e-06,1.86091375307121e-06,1.846991238568e-06,1.85597756037904e-06,2.00694579468197e-06,2.1489125524229e-06,2.20431587009093e-06,1.97969870117791e-06,2.14418888715538e-06,2.2040571282696e-06,2.14015996720213e-06,2.20705761976913e-06,1.66359568384359e-06,1.82699719970275e-06,1.80361348810887e-06,1.64059277884234e-06,1.79046691627409e-06,1.78986622000097e-06,1.78026938736489e-06,1.7806447625063e-06
"4",2.49112044564404e-06,2.72725310246553e-06,2.68646865713643e-06,2.47766688563926e-06,2.70187462307885e-06,2.69653938426639e-06,2.69299580195332e-06,2.69849461829596e-06,2.41623202170967e-06,2.64903754872336e-06,2.60567312269438e-06,2.38263284593406e-06,2.61063900691996e-06,2.59276633562154e-06,2.59516464413023e-06,2.59461068507474e-06,2.32965006802098e-06,2.53214581058762e-06,2.4985904257785e-06,2.29757249421857e-06,2.48912589334912e-06,2.4835982287862e-06,2.47457773122983e-06,2.47588916350267e-06,2.32352446855456e-06,2.39411540957149e-06,2.49795178632089e-06,2.27693640078782e-06,2.39602979228586e-06,2.50340904997018e-06,2.38466816684854e-06,2.38002490109816e-06,2.44196184295572e-06,2.64348692629144e-06,2.61820469529212e-06,2.41461296557065e-06,2.65902727238416e-06,2.62808765185245e-06,2.60083370088618e-06,2.69787520307141e-06,2.56158262984558e-06,2.85439202376301e-06,2.79915952917942e-06,2.55642595294111e-06,2.83805544981249e-06,2.8207342899659e-06,2.83117622204657e-06,2.83258278925017e-06,2.37537494068563e-06,2.58026927367244e-06,2.54895799360795e-06,2.34533802190502e-06,2.54540482316434e-06,2.53710452108394e-06,2.53265948690921e-06,2.53285771776043e-06,2.27257086175277e-06,2.67163590322994e-06,2.42521024837425e-06,2.41043631739292e-06,2.43290887971671e-06,2.42944670384423e-06,2.42069469530735e-06,2.42042578338166e-06,2.43444088254756e-06,2.56369320006827e-06,2.62081427195923e-06,2.41038886921121e-06,2.57105969560263e-06,2.62061575804015e-06,2.56414308740285e-06,2.6214151271222e-06,2.19888540039275e-06,2.37199936362302e-06,2.34515913467258e-06,2.17532643970175e-06,2.33397922030036e-06,2.3309918139892e-06,2.32246706631337e-06,2.32295204321416e-06
"5",1.86364920342518e-06,2.10407039507854e-06,2.05801152186709e-06,1.84834056616294e-06,2.07471244665921e-06,2.06995410470915e-06,2.06421585589685e-06,2.07043871865108e-06,1.9233532927373e-06,2.17908036429065e-06,2.13337794969522e-06,1.8873806591549e-06,2.13392246255758e-06,2.11880726470533e-06,2.11722186913805e-06,2.11803514998892e-06,1.81089031538065e-06,2.03880862743906e-06,1.99914045895948e-06,1.77465685016115e-06,1.98755468243628e-06,1.98167332044923e-06,1.97134585214034e-06,1.97223475901398e-06,1.7459230682086e-06,1.84399633488258e-06,1.93319452268218e-06,1.71060741817887e-06,1.81790097072718e-06,1.9491299913979e-06,1.81496407779066e-06,1.84514421990004e-06,1.81873634609111e-06,2.0128861408581e-06,1.99917774556737e-06,1.7906179402371e-06,2.02402849821359e-06,2.00729460168619e-06,1.97429075697296e-06,2.05217935524099e-06,1.95630611980826e-06,2.23901156901426e-06,2.18246766381993e-06,1.9493639909473e-06,2.21911147830622e-06,2.20775232415592e-06,2.21138137976309e-06,2.21314290159775e-06,1.91160623162981e-06,2.14930997112878e-06,2.11243521820212e-06,1.87848630471794e-06,2.10775128458195e-06,2.09888486763109e-06,2.09288229518655e-06,2.09347972065562e-06,1.81884963546761e-06,2.21482456111598e-06,1.9834010712886e-06,1.92509646971537e-06,2.00687173043317e-06,1.99432212879347e-06,1.98773004089891e-06,1.99347062288587e-06,1.77687315744692e-06,1.92369073046115e-06,1.9636052034346e-06,1.75089905157466e-06,1.90238028683077e-06,1.96274780708872e-06,1.90321117517158e-06,1.96698180893326e-06,1.74154032955407e-06,1.95603525835916e-06,1.91962266124142e-06,1.71208824742696e-06,1.91023848709916e-06,1.90269255255578e-06,1.89495573331627e-06,1.89597505045009e-06
"6",6.70929771397148e-07,8.93180342161681e-07,8.51246343517939e-07,6.57312177493545e-07,8.67354349407172e-07,8.63882130118474e-07,8.57411406543474e-07,8.63138216753562e-07,7.27278847155287e-07,9.65227065748184e-07,9.22068960222336e-07,6.93952323233037e-07,9.22318395645767e-07,9.08301272431064e-07,9.06163465238118e-07,9.0698096393838e-07,6.27797023153921e-07,8.40612511102135e-07,8.04238923017588e-07,5.946335540083e-07,7.94297387938357e-07,7.88607961392833e-07,7.7839920036922e-07,7.79242169152245e-07,5.8976658944377e-07,7.08223536891907e-07,7.72467588769021e-07,5.42690411236864e-07,6.73942453193868e-07,7.38590707422985e-07,6.15824724710838e-07,6.85566059204069e-07,6.50646798769986e-07,8.40315181114924e-07,8.31176249929544e-07,6.07893072908498e-07,7.8637555074239e-07,7.7346197756056e-07,7.61531970191763e-07,8.23127160954948e-07,7.38807723387998e-07,1.01339193945491e-06,9.53016196121225e-07,7.33058314931823e-07,9.9623273796386e-07,9.75983124725788e-07,9.86467331420393e-07,9.88240533136964e-07,7.07580653208475e-07,9.29380904797387e-07,8.93655794316396e-07,6.77026175385492e-07,8.89788084286559e-07,8.81995780768058e-07,8.75603052400601e-07,8.75891870363119e-07,6.70409012312718e-07,8.9010802657608e-07,8.61425278560701e-07,6.80726657657181e-07,8.60440323074094e-07,8.42940281755948e-07,8.56095293399234e-07,8.57324323269915e-07,6.14230358576185e-07,7.46100798513839e-07,7.79832452788707e-07,5.93141688932687e-07,7.29942697239121e-07,7.8061778177903e-07,7.50132341968555e-07,7.85236091578371e-07,5.92749934236096e-07,7.99013094659911e-07,7.63513289477521e-07,5.65673200287423e-07,7.54578513423017e-07,7.48067149415001e-07,7.41003304748018e-07,7.41978619586721e-07
"7",2.6241654835901e-06,2.86355755911508e-06,2.82106421844357e-06,2.60923641094867e-06,2.83653035458868e-06,2.83428881660085e-06,2.82666718274029e-06,2.83270439378642e-06,2.57547034446496e-06,2.8220901979369e-06,2.77518486693591e-06,2.53964831003916e-06,2.77864395080954e-06,2.76098437893496e-06,2.76154222251134e-06,2.7616173799673e-06,2.47478347642116e-06,2.69157933599784e-06,2.6539397631515e-06,2.43834515202154e-06,2.64481142884451e-06,2.63809422155096e-06,2.62866708139775e-06,2.62888243596474e-06,2.43978827227971e-06,2.5677883018918e-06,2.63622463886058e-06,2.39399079145622e-06,2.52596304625903e-06,2.59672529597639e-06,2.46915172586096e-06,2.52935224866804e-06,2.61287412630778e-06,2.80707450344978e-06,2.79581252809443e-06,2.56620319260459e-06,2.75257232919971e-06,2.74723848341105e-06,2.73957242604525e-06,2.78409346348398e-06,2.71666766026567e-06,2.99872598893368e-06,2.94415803207298e-06,2.71001941077424e-06,2.98062912038734e-06,2.9686983297755e-06,2.9730993630811e-06,2.97436985284215e-06,2.55283311577746e-06,2.77783885452097e-06,2.74045482608516e-06,2.52022050897419e-06,2.73790136857732e-06,2.72844998315698e-06,2.72291811957425e-06,2.72267786035311e-06,2.53115615149545e-06,2.72891395810314e-06,2.71280870869474e-06,2.52011750744892e-06,2.69908598560559e-06,2.70517622337074e-06,2.70380308166512e-06,2.70494968314647e-06,2.53972067646066e-06,2.69413275945069e-06,2.72454911606897e-06,2.5137081475333e-06,2.65448847067744e-06,2.72279091589357e-06,2.68643470836397e-06,2.72439748635841e-06,2.4046905793362e-06,2.60461941249146e-06,2.57118586018528e-06,2.37622228307412e-06,2.56096560508324e-06,2.55570818868161e-06,2.54746292339714e-06,2.54831238256294e-06
"8",2.6808742402707e-06,2.92601129288849e-06,2.87835523645159e-06,2.66427502960629e-06,2.89556829265595e-06,2.89317567309696e-06,2.88420351759519e-06,2.89077841929142e-06,2.77145657372747e-06,3.0401681523484e-06,2.99177797029829e-06,2.7333471942354e-06,2.99065655739124e-06,2.97612786833575e-06,2.97248775662646e-06,2.97383847742142e-06,2.64325296536763e-06,2.88272807999634e-06,2.8410729383696e-06,2.60327289600188e-06,2.82896871726626e-06,2.82297395620654e-06,2.81044184339897e-06,2.81138068293848e-06,2.57151885049366e-06,2.72643771593337e-06,2.76701237694102e-06,2.5088481127684e-06,2.64556332916667e-06,2.73402449828288e-06,2.57830981105159e-06,2.67240855503527e-06,2.67539797503184e-06,2.86638474314467e-06,2.84994947615423e-06,2.62097667007131e-06,2.80743595803594e-06,2.8031125272827e-06,2.79988641813867e-06,2.82993520937308e-06,2.79539955944638e-06,3.07148110247837e-06,3.0160717902534e-06,2.78775991378654e-06,3.05055098564665e-06,3.04455364455987e-06,3.04264996208688e-06,3.04412044868262e-06,2.77625850104025e-06,3.03190676011906e-06,2.99042339888793e-06,2.74063414986457e-06,2.98593790762682e-06,2.97705483782016e-06,2.96916883661464e-06,2.9693251558979e-06,2.75394697579275e-06,2.97407785240352e-06,2.95301340519334e-06,2.73310943232598e-06,2.93982455626395e-06,2.95360802067985e-06,2.94727467500687e-06,2.94889590425169e-06,2.57019874982649e-06,2.73643124674961e-06,2.75522007573381e-06,2.54216149588962e-06,2.6753280000328e-06,2.7537096870523e-06,2.71570310671875e-06,2.75574627596747e-06,2.62340611134051e-06,2.86044903827297e-06,2.81934613854037e-06,2.59027386725601e-06,2.80837346026511e-06,2.80145855605476e-06,2.79339230805287e-06,2.793685337231e-06
"9",1.84765008356752e-06,2.09690250728617e-06,2.04543235469686e-06,1.82992279768947e-06,2.06406696286382e-06,2.06137234113606e-06,2.05160763631006e-06,2.05855571255053e-06,2.05708568979355e-06,2.3439133756852e-06,2.29405745133978e-06,2.01720153820815e-06,2.28968080414527e-06,2.27726750429519e-06,2.27064182752409e-06,2.2729708630176e-06,1.88756417306493e-06,2.14278745671289e-06,2.09842185021439e-06,1.84541051712109e-06,2.08440675181912e-06,2.07884528369273e-06,2.06436901109343e-06,2.06583014975314e-06,1.78197948268913e-06,1.94340270616494e-06,1.9784114764921e-06,1.70998908333702e-06,1.84916765272838e-06,1.94898600148278e-06,1.77444436988993e-06,1.88763671340319e-06,1.84432275842034e-06,2.03346125762487e-06,2.01498157309278e-06,1.78494333232542e-06,1.9713078053333e-06,1.967866163652e-06,1.96605336116846e-06,1.98436309916502e-06,1.97710925655938e-06,2.24983413089607e-06,2.19354263302459e-06,1.96884052124949e-06,2.22692552041211e-06,2.22475060387942e-06,2.21874216502497e-06,2.2203815717221e-06,2.08663846159873e-06,2.36739103792852e-06,2.32243862437671e-06,2.04862097156793e-06,2.31658013441842e-06,2.30797041311165e-06,2.29843084876381e-06,2.29897442994159e-06,2.07202007816154e-06,2.31989944437303e-06,2.29089589162846e-06,2.02822992035052e-06,2.28193470004862e-06,2.2942427876466e-06,2.28914445667067e-06,2.29108873814938e-06,1.7162722048032e-06,1.88935081795823e-06,1.9006956597268e-06,1.68700097275383e-06,1.81499445954478e-06,1.89973290648524e-06,1.86070714097886e-06,1.90226795878838e-06,1.9220592922893e-06,2.18737062627308e-06,2.14082513097749e-06,1.88582730220529e-06,2.12947275278529e-06,2.12127896981381e-06,2.11342040047722e-06,2.11354374114658e-06
"10",2.32390279195819e-06,2.55654709888987e-06,2.50912752715341e-06,2.30803034754034e-06,2.5265361895067e-06,2.52371408327153e-06,2.51499861646947e-06,2.52142380603777e-06,2.46717384809811e-06,2.7243977919745e-06,2.68144868072134e-06,2.43231419121229e-06,2.67721557325571e-06,2.66679951145614e-06,2.66071093237404e-06,2.66275973128677e-06,2.36143584716086e-06,2.59898343768204e-06,2.55827003014196e-06,2.32374303178497e-06,2.54560055785843e-06,2.54036386560034e-06,2.52731788539568e-06,2.52872511019923e-06,2.28593520169919e-06,2.42686015596426e-06,2.47352937508719e-06,2.22211242297362e-06,2.35829400010733e-06,2.44404877871196e-06,2.28959053157281e-06,2.38929671061208e-06,2.313554080776e-06,2.50063095517987e-06,2.48383783863136e-06,2.26153388983304e-06,2.44199797296272e-06,2.43299067943806e-06,2.42703086067838e-06,2.44442404035977e-06,2.42350675096135e-06,2.69098256335516e-06,2.63166077404431e-06,2.41631707243917e-06,2.67025479302432e-06,2.65970359093108e-06,2.66047240327978e-06,2.662294697679e-06,2.46617614133372e-06,2.71422676321922e-06,2.6767340071726e-06,2.43352248234666e-06,2.67079222819001e-06,2.66434868952226e-06,2.65581603376305e-06,2.65655781172582e-06,2.50408470167175e-06,2.78862498099146e-06,2.73763613919173e-06,2.46056935216662e-06,2.75333305678521e-06,2.7112061354936e-06,2.74096798752542e-06,2.74216685928116e-06,2.23445116227277e-06,2.38930505836866e-06,2.40755929656333e-06,2.20925419812663e-06,2.33745430735039e-06,2.40641615400586e-06,2.37164309263534e-06,2.40963083118601e-06,2.39420406976538e-06,2.64062214176818e-06,2.59769912709155e-06,2.36182667792855e-06,2.58771626908545e-06,2.5797197547247e-06,2.57247870572508e-06,2.57327173511428e-06
