"","sGARCH-norm","sGARCH-std","sGARCH-ged","sGARCH-snorm","sGARCH-sstd","sGARCH-sged","sGARCH-jsu","sGARCH-ghyp","eGARCH-norm","eGARCH-std","eGARCH-ged","eGARCH-snorm","eGARCH-sstd","eGARCH-sged","eGARCH-jsu","eGARCH-ghyp","gjrGARCH-norm","gjrGARCH-std","gjrGARCH-ged","gjrGARCH-snorm","gjrGARCH-sstd","gjrGARCH-sged","gjrGARCH-jsu","gjrGARCH-ghyp","apARCH-norm","apARCH-std","apARCH-ged","apARCH-snorm","apARCH-sstd","apARCH-sged","apARCH-jsu","apARCH-ghyp","csGARCH-norm","csGARCH-std","csGARCH-ged","csGARCH-snorm","csGARCH-sstd","csGARCH-sged","csGARCH-jsu","csGARCH-ghyp","iGARCH-norm","iGARCH-std","iGARCH-ged","iGARCH-snorm","iGARCH-sstd","iGARCH-sged","iGARCH-jsu","iGARCH-ghyp","TGARCH-norm","TGARCH-std","TGARCH-ged","TGARCH-snorm","TGARCH-sstd","TGARCH-sged","TGARCH-jsu","TGARCH-ghyp","AVGARCH-norm","AVGARCH-std","AVGARCH-ged","AVGARCH-snorm","AVGARCH-sstd","AVGARCH-sged","AVGARCH-jsu","AVGARCH-ghyp","NGARCH-norm","NGARCH-std","NGARCH-ged","NGARCH-snorm","NGARCH-sstd","NGARCH-sged","NGARCH-jsu","NGARCH-ghyp","NAGARCH-norm","NAGARCH-std","NAGARCH-ged","NAGARCH-snorm","NAGARCH-sstd","NAGARCH-sged","NAGARCH-jsu","NAGARCH-ghyp"
"1",2.07438564245394e-06,2.38586746510942e-06,2.33536702296559e-06,2.00478363349178e-06,2.26463169181703e-06,2.22906222501222e-06,2.24953774097663e-06,2.24750848644404e-06,1.82589639524476e-06,2.10562247683786e-06,2.06471320387801e-06,1.71242122427797e-06,1.94303732359602e-06,1.90862324005762e-06,1.9181695969528e-06,1.91102133449976e-06,1.66082691810265e-06,1.94583281895392e-06,1.89982041239266e-06,1.58983736999892e-06,1.81840081032143e-06,1.7729812401819e-06,1.80148532589275e-06,1.80000406603274e-06,1.64481876560609e-06,1.87963368949747e-06,1.8893104562133e-06,1.5962773278856e-06,1.78139459096992e-06,1.77694417558434e-06,1.8070538937499e-06,1.75388031199994e-06,2.12803977131784e-06,2.40053860601362e-06,2.37941331805548e-06,2.05272122979632e-06,2.27421309768161e-06,2.26823326079686e-06,2.2727227465503e-06,2.27524644725941e-06,2.20886293022286e-06,2.55369746591963e-06,2.50569310530859e-06,2.12269305601792e-06,2.40542190673249e-06,2.37792403176172e-06,2.39409248366327e-06,2.35799675600033e-06,1.77879929449407e-06,2.06334739430172e-06,2.01919413439478e-06,1.67462512797604e-06,1.90575553689913e-06,1.86649073659842e-06,1.88433477180682e-06,1.87918943435135e-06,1.72193127385096e-06,2.06312689876494e-06,2.0137652144061e-06,1.67181542275649e-06,1.90593457185319e-06,1.85955363407656e-06,1.88534592620414e-06,1.87998172693702e-06,1.97889751032346e-06,2.26031269217443e-06,2.23676792680797e-06,1.91592675247784e-06,2.15015664195895e-06,2.12014719188077e-06,2.14648529089016e-06,2.14099765380767e-06,1.6903519280495e-06,1.9412835187262e-06,1.9048001812164e-06,1.72848476632305e-06,1.78968980974961e-06,1.76229515181139e-06,1.76828359438901e-06,1.76417319310715e-06
"2",1.47590351334258e-06,1.76202322974794e-06,1.71866124483221e-06,1.41290823740944e-06,1.65436710851403e-06,1.62345356702414e-06,1.64086803239059e-06,1.63840050106925e-06,1.22077167613704e-06,1.47324882728093e-06,1.44472348134849e-06,1.11534317516729e-06,1.32240782801117e-06,1.29595003454409e-06,1.30089309025873e-06,1.29420048850511e-06,1.11348730766723e-06,1.3690755673701e-06,1.33388286956593e-06,1.04658356018517e-06,1.25189595688143e-06,1.21622367894896e-06,1.23706946626629e-06,1.23611312525576e-06,1.11445009071416e-06,1.32932373336266e-06,1.34434439661857e-06,1.06666024880997e-06,1.23607195830208e-06,1.23992393864983e-06,1.26459530411544e-06,1.21551458384818e-06,1.39362861100665e-06,1.62593181357192e-06,1.60896044872553e-06,1.32423310402781e-06,1.51699516039534e-06,1.51191469255842e-06,1.51334007096764e-06,1.51505285563862e-06,1.60955231882726e-06,1.91867874037648e-06,1.88304633040781e-06,1.52833761571795e-06,1.78724063745039e-06,1.76740178015112e-06,1.77754514159504e-06,1.74156473974486e-06,1.16140428133076e-06,1.40856532175205e-06,1.3831424400169e-06,1.06671050044373e-06,1.2653953379092e-06,1.24018918821027e-06,1.24838582411423e-06,1.24385680273283e-06,1.16025204082885e-06,1.4046858824938e-06,1.38158983463672e-06,1.07330911792712e-06,1.2643790446084e-06,1.24255966375893e-06,1.25121211745083e-06,1.24651131514484e-06,1.4256378281552e-06,1.69290576906349e-06,1.66949882575061e-06,1.36414048024558e-06,1.58207212176824e-06,1.5592025235081e-06,1.57125866595214e-06,1.57421549646906e-06,1.14633361101932e-06,1.37552562692584e-06,1.34867337297947e-06,1.19635071032909e-06,1.23405416631644e-06,1.21452815752211e-06,1.21519602926563e-06,1.21079913659775e-06
"3",1.05232143082036e-06,1.32088307606943e-06,1.2817773337987e-06,9.9374607747397e-07,1.22308154190039e-06,1.19542169974779e-06,1.21072737766789e-06,1.2079644547825e-06,8.17352474737799e-07,1.05294510196293e-06,1.02782400967976e-06,7.15351572765515e-07,9.10832937166185e-07,8.87181482578163e-07,8.90696849939043e-07,8.84187369999604e-07,7.18583052256544e-07,9.53881017490404e-07,9.25326587319219e-07,6.54341380686826e-07,8.4429273068162e-07,8.14627545647543e-07,8.30856650154197e-07,8.30177995768309e-07,7.25663727638647e-07,9.2450383504809e-07,9.43583342803916e-07,6.78686744934837e-07,8.36166349322388e-07,8.45863554346837e-07,8.66236474965214e-07,8.20328182709653e-07,9.32480741792394e-07,1.15139412525611e-06,1.13372834962432e-06,8.66807496174691e-07,1.05230157952734e-06,1.04592910611053e-06,1.04770231497102e-06,1.04873269148983e-06,1.18386671353076e-06,1.46916480569832e-06,1.44028344226784e-06,1.10644111637344e-06,1.3502513265575e-06,1.33506839187443e-06,1.34161988414254e-06,1.30612119239158e-06,7.5577538563749e-07,9.83651312456944e-07,9.6274443700248e-07,6.64717674407949e-07,8.49800896717724e-07,8.28600567667327e-07,8.34285470542531e-07,8.29959977702221e-07,7.77053054432256e-07,9.81980235085451e-07,9.71637300461721e-07,6.75774726986955e-07,8.49484926702806e-07,8.36838593563693e-07,8.3597899856966e-07,8.31438685629947e-07,1.01983877616599e-06,1.27509313184106e-06,1.25184838580096e-06,9.5924273913446e-07,1.16479511680192e-06,1.14785531916817e-06,1.14867926531128e-06,1.15848798076517e-06,7.20526691776835e-07,9.23225157528414e-07,9.06257231878406e-07,7.85317900350689e-07,7.90589678292468e-07,7.78633748519737e-07,7.73971282036894e-07,7.69300839865294e-07
"4",1.97017351405423e-06,2.23636094064188e-06,2.19812653017488e-06,1.91075136821589e-06,2.1384999101233e-06,2.11482360998865e-06,2.12582624614817e-06,2.12464469335876e-06,1.72559049038865e-06,1.96079375344206e-06,1.93241831133463e-06,1.62104468412864e-06,1.81815735797232e-06,1.79374336763435e-06,1.79715080055964e-06,1.79019643008634e-06,1.61848632417666e-06,1.85643772389785e-06,1.82086570895515e-06,1.55415099981208e-06,1.74439672690377e-06,1.71404609032918e-06,1.73102762674743e-06,1.72918968905562e-06,1.62263279681031e-06,1.83675434263813e-06,1.83916351896433e-06,1.56848795148209e-06,1.72940411019222e-06,1.73490272084438e-06,1.78331390975068e-06,1.72666113070987e-06,1.89677213012022e-06,2.12663831688414e-06,2.10655861982699e-06,1.82906645299076e-06,2.02520731477688e-06,2.01773523025658e-06,2.01959285129711e-06,2.02244796857684e-06,2.10150014690971e-06,2.38700381835025e-06,2.35629885555843e-06,2.0237003937413e-06,2.26686944951931e-06,2.25317158911193e-06,2.25760061658073e-06,2.2219504413325e-06,1.66719444703502e-06,1.89920378830487e-06,1.87258112204228e-06,1.57347206633716e-06,1.76484052306173e-06,1.73953602417832e-06,1.74636792899694e-06,1.74164709512573e-06,1.68298628442394e-06,1.89823194220197e-06,1.87867720467268e-06,1.58223658169249e-06,1.76524667045574e-06,1.7447984930413e-06,1.74606052460948e-06,1.74479055615223e-06,1.90844415742126e-06,2.04997954539548e-06,2.14068326816879e-06,1.82792435999358e-06,2.06916591165532e-06,2.03246664232421e-06,2.02918871463682e-06,2.04206504979206e-06,1.7613542203817e-06,1.79465789519353e-06,1.77727461504235e-06,1.51108934732894e-06,1.66401915420197e-06,1.65278315628824e-06,1.64732213204669e-06,1.64094576500043e-06
"5",2.13750118777351e-06,2.38342550395283e-06,2.35167376316463e-06,2.0823701499055e-06,2.29487242522436e-06,2.27493368205857e-06,2.28338056432274e-06,2.28149989399139e-06,1.91544014714437e-06,2.13504518442465e-06,2.11547133947983e-06,1.81647633533227e-06,1.99788571061816e-06,1.9794351056049e-06,1.9792445916235e-06,1.97273781500122e-06,1.83165057451637e-06,2.04736159710382e-06,2.02176545524494e-06,1.76965439717071e-06,1.94140026083435e-06,1.91857019529707e-06,1.92997929767759e-06,1.92823991364689e-06,1.84668577975462e-06,2.03390823759336e-06,2.05017661018326e-06,1.79293302647176e-06,1.94583124939134e-06,1.94992754071537e-06,1.99536683754527e-06,1.94169887379762e-06,2.01822493298093e-06,2.23098278014969e-06,2.21311315125072e-06,1.95383621095506e-06,2.1357982505908e-06,2.12763965483266e-06,2.13007252018459e-06,2.13231139801797e-06,2.26313385800011e-06,2.5226169571674e-06,2.50001537117369e-06,2.1891366891192e-06,2.4142462215961e-06,2.40505679113443e-06,2.40575262290477e-06,2.37081037060663e-06,1.85795539978695e-06,2.07005473426242e-06,2.05527248981428e-06,1.77014460411255e-06,1.94190722735996e-06,1.92542037189638e-06,1.92604260801561e-06,1.92184053145575e-06,1.8688539730167e-06,2.06601128759813e-06,2.04289692412237e-06,1.76728227462747e-06,1.94293438809595e-06,1.9183328760297e-06,1.92482566950316e-06,1.91299950459385e-06,2.1110688920621e-06,2.20347513705158e-06,2.33364309668502e-06,2.02930227362903e-06,2.25225137937763e-06,2.22766756276884e-06,2.21750482866963e-06,2.22972491169652e-06,1.98516269560583e-06,2.01254826874055e-06,2.00142733307784e-06,1.74500202728333e-06,1.88755430200789e-06,1.88147597894975e-06,1.87265560543357e-06,1.8663550644312e-06
"6",2.48463415504068e-06,2.71917751900111e-06,2.69210505823303e-06,2.4309435168804e-06,2.63310001788142e-06,2.61527844380739e-06,2.62221710683732e-06,2.62000880571681e-06,2.34397646327897e-06,2.56819845833993e-06,2.55113877371909e-06,2.2470794043385e-06,2.42740055840975e-06,2.41161702284573e-06,2.40936183705627e-06,2.4032290908063e-06,2.23306331189069e-06,2.44264767348314e-06,2.42229189295872e-06,2.17054918531879e-06,2.33511707398109e-06,2.31591961787292e-06,2.32410028644382e-06,2.32238588410904e-06,2.23562471433653e-06,2.40621079046994e-06,2.4334798390882e-06,2.18166166086367e-06,2.32884654877261e-06,2.33253722118589e-06,2.37747864529621e-06,2.32420875265406e-06,2.37892578455879e-06,2.58980349461849e-06,2.57399138405478e-06,2.31480465809201e-06,2.49268085997253e-06,2.48358069496933e-06,2.48662584164301e-06,2.48864732029891e-06,2.60266039653684e-06,2.84958198506598e-06,2.83110073726423e-06,2.53032017694128e-06,2.74478809013615e-06,2.73707274456753e-06,2.73613674388303e-06,2.70195450598466e-06,2.30401698401254e-06,2.52368654707038e-06,2.51000034677073e-06,2.21719522209022e-06,2.39072287035604e-06,2.37556599697825e-06,2.37478158854275e-06,2.37081992876773e-06,2.26639894302978e-06,2.51801323540638e-06,2.48668711659123e-06,2.20723596759562e-06,2.39199341606544e-06,2.36077362783702e-06,2.37310479688564e-06,2.35435926333611e-06,2.47089378768955e-06,2.53307441007969e-06,2.68665022829916e-06,2.38746539135672e-06,2.59786789411114e-06,2.58105736141489e-06,2.5660222819078e-06,2.57672041593681e-06,2.39229130842314e-06,2.44953535215154e-06,2.43767433627618e-06,2.17686675941905e-06,2.32399431546014e-06,2.31791985064181e-06,2.30931547876656e-06,2.30329615158793e-06
"7",2.16985717831738e-06,2.41642457427584e-06,2.38783036502095e-06,2.11250420846299e-06,2.31986641514247e-06,2.30180395902133e-06,2.30907462525343e-06,2.306599197552e-06,2.15185736526005e-06,2.41028477292691e-06,2.38759675828217e-06,2.05359247721646e-06,2.25559146866682e-06,2.23510260215452e-06,2.23538713833752e-06,2.22930572649799e-06,2.00722909425111e-06,2.2486701292891e-06,2.22174653913874e-06,1.9379951991184e-06,2.12628704563581e-06,2.10147767271658e-06,2.11296381744111e-06,2.1101445129927e-06,1.96905094025015e-06,2.15217950867359e-06,2.18518498161578e-06,1.913815870632e-06,2.07528803956209e-06,2.07365061390994e-06,2.08907661257173e-06,2.04819979362022e-06,2.14951918367987e-06,2.37946634286944e-06,2.36591126419915e-06,2.08075280423979e-06,2.26910897642726e-06,2.25823099565157e-06,2.26272646624311e-06,2.26478981640024e-06,2.28289320002321e-06,2.54962929504245e-06,2.52601212791692e-06,2.20820862617733e-06,2.43314430164821e-06,2.41832749600105e-06,2.42269531292611e-06,2.3892224334892e-06,2.13994159606541e-06,2.40185189063426e-06,2.37718776931383e-06,2.04883571942143e-06,2.25107305676147e-06,2.22798554614877e-06,2.23375180582669e-06,2.22941680341781e-06,2.12476241737983e-06,2.39703088713025e-06,2.35038826738571e-06,2.03675153485322e-06,2.23067605354138e-06,2.21036615589555e-06,2.23245044697935e-06,2.21005682071721e-06,2.11747746298479e-06,2.37399563744957e-06,2.35201422488133e-06,2.0833853107105e-06,2.25565167653998e-06,2.2499682514765e-06,2.24215586838999e-06,2.25000092072437e-06,2.04425559825576e-06,2.28244295146354e-06,2.25545597954007e-06,2.03541761362442e-06,2.14541628498925e-06,2.12662846998262e-06,2.19134021209301e-06,2.12276241552108e-06
"8",2.38545226229016e-06,2.62286296518482e-06,2.59815720591591e-06,2.32922505438343e-06,2.52826982203577e-06,2.51188713288948e-06,2.51797151082415e-06,2.51549894587838e-06,2.4384685659805e-06,2.70085701108724e-06,2.68031827406396e-06,2.34197920313621e-06,2.5440411636573e-06,2.5257545696058e-06,2.52429491412331e-06,2.51841200249847e-06,2.26379797980474e-06,2.49853157401974e-06,2.47647860346061e-06,2.19513548536407e-06,2.37637232098792e-06,2.35514689858339e-06,2.36364116034145e-06,2.36083800999681e-06,2.21628124554714e-06,2.38797636805905e-06,2.42533208977824e-06,2.15913789124405e-06,2.31085562258494e-06,2.31523925118407e-06,2.32980882085811e-06,2.29058708064577e-06,2.34873840761648e-06,2.56737027116268e-06,2.55579476180424e-06,2.28174961355609e-06,2.46066444426254e-06,2.45124789752283e-06,2.45487144764655e-06,2.45695003297126e-06,2.4916770521412e-06,2.74903090254303e-06,2.7284855712064e-06,2.41817778109838e-06,2.63490935151966e-06,2.62094211792309e-06,2.62416454175851e-06,2.59145344768463e-06,2.43790623663832e-06,2.70487984471433e-06,2.68193909700697e-06,2.34812793823514e-06,2.55180617117054e-06,2.53071337355751e-06,2.53476536621544e-06,2.53054705742955e-06,2.41459617866778e-06,2.69876896490926e-06,2.64460733931216e-06,2.32943320305759e-06,2.52394267339205e-06,2.50587489918661e-06,2.53311075495757e-06,2.50411269554783e-06,2.33956126679616e-06,2.58987241818717e-06,2.56913897964364e-06,2.30819959981141e-06,2.46926080816271e-06,2.46654968696862e-06,2.45504424049239e-06,2.46307986310974e-06,2.32848149589829e-06,2.57178313409245e-06,2.5449173990331e-06,2.30776788603749e-06,2.43575953338397e-06,2.41760681886645e-06,2.46955527621419e-06,2.41361966412025e-06
"9",1.95193773094766e-06,2.19542215832543e-06,2.17045327491608e-06,1.89295757526788e-06,2.09313994260905e-06,2.07555522877522e-06,2.08239134861815e-06,2.07998241002198e-06,2.10099182931993e-06,2.38635594742378e-06,2.36192335462645e-06,2.00329052531973e-06,2.21948802300053e-06,2.20017123182964e-06,2.19855298098322e-06,2.19279332918738e-06,1.88815929552919e-06,2.13967715828877e-06,2.11452763621863e-06,1.81736131936475e-06,2.00870597289775e-06,1.98516155173541e-06,1.9945192423366e-06,1.99162050802462e-06,1.81156881384348e-06,1.98987672868607e-06,2.03002707343429e-06,1.75019610001044e-06,1.90791954658152e-06,1.91170169236514e-06,1.9320901398429e-06,1.88773395175454e-06,1.95463112005877e-06,2.18046333226056e-06,2.17071118878429e-06,1.88529204604474e-06,2.0668879074836e-06,2.05834936369448e-06,2.06129652172787e-06,2.06367757448039e-06,2.05259385590724e-06,2.3211742982924e-06,2.29780051081446e-06,1.97700020738369e-06,2.19798544469888e-06,2.18073299098684e-06,2.18596552077684e-06,2.15357990319172e-06,2.11995096275695e-06,2.41537306826796e-06,2.38527727994307e-06,2.02760037531606e-06,2.25109667785405e-06,2.22586568988067e-06,2.232157959886e-06,2.22786051015278e-06,2.09265699143189e-06,2.40878594466248e-06,2.34249371530429e-06,2.00540646317216e-06,2.21881741780048e-06,2.19691800013084e-06,2.23041751322297e-06,2.19711553535784e-06,1.88711158613476e-06,2.13987515894618e-06,2.1197430661623e-06,1.85626676600801e-06,2.01487474475547e-06,2.01191551135543e-06,2.00181845713246e-06,2.00821247432463e-06,1.97146113577582e-06,2.24285852283799e-06,2.20746814640295e-06,1.92225712677145e-06,2.10022648440589e-06,2.07635962972584e-06,2.10281666066163e-06,2.07698173053776e-06
"10",2.05631515105132e-06,2.28511919507936e-06,2.26154147507047e-06,2.0002311599656e-06,2.19083402845679e-06,2.17137446716045e-06,2.18029909284554e-06,2.17840005505042e-06,2.22285369408633e-06,2.49313419412506e-06,2.4769469026247e-06,2.13052438654137e-06,2.33695258954483e-06,2.31987480392185e-06,2.31782081210439e-06,2.31162821811362e-06,2.01290019680541e-06,2.24432327357327e-06,2.22688087357943e-06,1.94462022725208e-06,2.12223021164419e-06,2.1035773112988e-06,2.10984031930731e-06,2.10724972911943e-06,1.94484402083894e-06,2.10725725077215e-06,2.14042751718693e-06,1.88413747057929e-06,2.03168155678728e-06,2.03437378606539e-06,2.05071024587668e-06,2.02854305317367e-06,2.02244007070327e-06,2.22844510245924e-06,2.21789374330508e-06,1.95905089066392e-06,2.12775717340365e-06,2.11808713038519e-06,2.12234162039933e-06,2.12326935387858e-06,2.15037820177396e-06,2.40043850772942e-06,2.38082971120683e-06,2.07893699827399e-06,2.28924699361109e-06,2.27216072166099e-06,2.27698881815098e-06,2.246693892806e-06,2.23694535064143e-06,2.51214910085773e-06,2.49304662006601e-06,2.15077969428439e-06,2.36034322769904e-06,2.3406880590209e-06,2.34380117712919e-06,2.3391815919155e-06,2.19998904189617e-06,2.45920742478577e-06,2.43810084053651e-06,2.00404876318594e-06,2.31995090945506e-06,2.30412674639966e-06,2.41149463231859e-06,2.30064556075965e-06,2.03275856904311e-06,2.0705778593984e-06,2.22226612179696e-06,1.97995624147866e-06,2.13093977606442e-06,2.13019250652122e-06,2.11852984121281e-06,2.12050804300838e-06,2.11548824298306e-06,2.37323790965899e-06,2.34414770078423e-06,2.04148554276807e-06,2.24012159189557e-06,2.21991750248625e-06,2.22323536319561e-06,2.218302640657e-06
