"","sGARCH-norm","sGARCH-std","sGARCH-ged","sGARCH-snorm","sGARCH-sstd","sGARCH-sged","sGARCH-jsu","sGARCH-ghyp","eGARCH-norm","eGARCH-std","eGARCH-ged","eGARCH-snorm","eGARCH-sstd","eGARCH-sged","eGARCH-jsu","eGARCH-ghyp","gjrGARCH-norm","gjrGARCH-std","gjrGARCH-ged","gjrGARCH-snorm","gjrGARCH-sstd","gjrGARCH-sged","gjrGARCH-jsu","gjrGARCH-ghyp","apARCH-norm","apARCH-std","apARCH-ged","apARCH-snorm","apARCH-sstd","apARCH-sged","apARCH-jsu","apARCH-ghyp","csGARCH-norm","csGARCH-std","csGARCH-ged","csGARCH-snorm","csGARCH-sstd","csGARCH-sged","csGARCH-jsu","csGARCH-ghyp","iGARCH-norm","iGARCH-std","iGARCH-ged","iGARCH-snorm","iGARCH-sstd","iGARCH-sged","iGARCH-jsu","iGARCH-ghyp","TGARCH-norm","TGARCH-std","TGARCH-ged","TGARCH-snorm","TGARCH-sstd","TGARCH-sged","TGARCH-jsu","TGARCH-ghyp","AVGARCH-norm","AVGARCH-std","AVGARCH-ged","AVGARCH-snorm","AVGARCH-sstd","AVGARCH-sged","AVGARCH-jsu","AVGARCH-ghyp","NGARCH-norm","NGARCH-std","NGARCH-ged","NGARCH-snorm","NGARCH-sstd","NGARCH-sged","NGARCH-jsu","NGARCH-ghyp","NAGARCH-norm","NAGARCH-std","NAGARCH-ged","NAGARCH-snorm","NAGARCH-sstd","NAGARCH-sged","NAGARCH-jsu","NAGARCH-ghyp"
"1",5.06437991090214e-06,5.41833333873093e-06,5.37423123006786e-06,5.00021182888073e-06,5.53375432857172e-06,5.45398938195072e-06,5.52801648547041e-06,5.49330420969573e-06,5.20718323089205e-06,5.71544489737455e-06,5.62333459887775e-06,5.13418983904615e-06,5.85902205540221e-06,5.735574351995e-06,5.85115472853116e-06,5.80611821317488e-06,4.99562931216092e-06,5.33618802828927e-06,5.29517555840102e-06,4.94109461596021e-06,5.44638823004904e-06,5.37643248920019e-06,5.43996393418949e-06,5.40594671319547e-06,4.82436627658354e-06,5.67614743375158e-06,5.25552608524686e-06,4.83524143935399e-06,5.80949933129297e-06,5.35676377191145e-06,5.78009050459207e-06,5.7417860967194e-06,5.07758723897672e-06,5.45260743673421e-06,5.4740974116762e-06,5.10429558905335e-06,5.58381560436016e-06,5.60938493096049e-06,5.61032001451906e-06,5.55426495523777e-06,5.66461117471002e-06,5.98060706376207e-06,6.15049680243452e-06,5.60011431612243e-06,6.13925455025477e-06,6.27418132801473e-06,6.23653180425757e-06,6.16528377229819e-06,4.79307871635539e-06,5.65518282515708e-06,5.41838234598474e-06,4.74963336248257e-06,5.79980878157052e-06,5.51339949501658e-06,5.76738334264084e-06,5.7266474173629e-06,4.80822831991267e-06,5.64619912124733e-06,5.44737090364379e-06,4.77632143691899e-06,5.8059310413758e-06,5.52740838862928e-06,5.78118410115072e-06,5.75179996677285e-06,4.8209996682279e-06,5.76142047738127e-06,5.35386325629858e-06,4.83932922869607e-06,5.89599285696597e-06,5.58045887292973e-06,5.86516487921064e-06,5.82666502826938e-06,5.05619692848525e-06,5.3105309485763e-06,5.27626793681039e-06,4.98345078393078e-06,5.41984280149745e-06,5.36513874437479e-06,5.41343589740225e-06,5.37046173287485e-06
"2",7.38254658467504e-06,7.77094418489641e-06,7.71814627347113e-06,7.3188813133629e-06,7.89198745479907e-06,7.80622747300087e-06,7.88643389690783e-06,7.84882342505005e-06,7.57099326183004e-06,8.13677850235752e-06,8.03763298280483e-06,7.5015120656234e-06,8.28417106022709e-06,8.15001073032211e-06,8.2763705867004e-06,8.22932320970721e-06,7.34460806802422e-06,7.74394130066598e-06,7.69097549679799e-06,7.2894622787174e-06,7.85954331864646e-06,7.77638641646622e-06,7.85406541587606e-06,7.81636904162776e-06,7.14773709525287e-06,8.13291721549005e-06,7.58933130543709e-06,7.1586937790348e-06,8.26866996226664e-06,7.68671118276024e-06,8.24549773773074e-06,8.20040019724945e-06,7.49594129257173e-06,7.84970149808536e-06,7.79832760344733e-06,7.52916692291947e-06,7.99430074871799e-06,7.93606923705302e-06,8.01991917882472e-06,7.95870372273164e-06,7.96949163666446e-06,8.31054775078118e-06,8.45171547615704e-06,7.90461101911627e-06,8.47525494700009e-06,8.57984304355651e-06,8.56298241667655e-06,8.49526748469106e-06,7.29065290511777e-06,8.10946233926649e-06,7.90318338373974e-06,7.24340233859931e-06,8.25800886978459e-06,8.00145626371835e-06,8.2314940611478e-06,8.18435784883063e-06,7.29996353602241e-06,8.08432382312377e-06,7.90363298169121e-06,7.26696698338524e-06,8.24508163414391e-06,8.00416889528518e-06,8.23000004100346e-06,8.19436742792149e-06,7.12226931385044e-06,8.18387849356834e-06,7.65123517791042e-06,7.140046368801e-06,8.32287834218117e-06,8.0519372302284e-06,8.2964728889502e-06,8.25154328835186e-06,7.37718706689334e-06,7.74372127344959e-06,7.69043760921347e-06,7.3064526523868e-06,7.85526179859807e-06,7.77628958876279e-06,7.84951787049346e-06,7.80386495944153e-06
"3",4.50393280323611e-06,5.39766080844859e-06,5.2415155588106e-06,4.44754179525274e-06,5.55559681713814e-06,5.3788368192036e-06,5.54343168835677e-06,5.49425847140664e-06,4.69598182024938e-06,5.56249855892281e-06,5.41316424375763e-06,4.63842705643559e-06,5.72573006026063e-06,5.52831088221642e-06,5.71117510728627e-06,5.66312349077995e-06,4.59916134910906e-06,5.56935119537497e-06,5.39953277773438e-06,4.54444135203596e-06,5.71809039185656e-06,5.50353488681703e-06,5.70545359904828e-06,5.65664538750105e-06,4.50238715897777e-06,5.6093747368431e-06,5.24563292239126e-06,4.51010914718587e-06,5.77084920991337e-06,5.28533744636979e-06,5.75848671219099e-06,5.69689201083949e-06,5.33042444514656e-06,5.6565502142747e-06,5.17609106975867e-06,5.39809238915731e-06,5.87033784327732e-06,5.31881893048838e-06,5.89319905838168e-06,5.80793580949372e-06,4.97301698649994e-06,5.95163142239266e-06,5.79936763311254e-06,4.90391022576983e-06,6.1516038833517e-06,5.95050337706981e-06,6.18035517628351e-06,6.1415778155496e-06,4.85650379677992e-06,5.60438374493415e-06,5.47658721444916e-06,4.79034123139168e-06,5.76896536666779e-06,5.58940851009843e-06,5.75573743764767e-06,5.69249598232119e-06,4.93966781593299e-06,5.60570497684593e-06,5.45297589856011e-06,4.87132048552864e-06,5.7981438011324e-06,5.6367949975966e-06,5.79567175610682e-06,5.74151263879634e-06,4.3577508068901e-06,5.56730871167626e-06,5.0211902881968e-06,4.30882003699391e-06,5.73873087964753e-06,5.54507127744211e-06,5.71732262936945e-06,5.65715039116754e-06,4.50706958959998e-06,5.49768921106681e-06,5.32996518099906e-06,4.45555453384562e-06,5.63646848318173e-06,5.43044550371468e-06,5.61914626782549e-06,5.56715121641445e-06
"4",3.02005933885182e-06,3.78375491847023e-06,3.64022558780179e-06,2.95921375227547e-06,3.92429429640544e-06,3.752126340934e-06,3.90568185322639e-06,3.8665561853831e-06,3.18034922103136e-06,3.96648304978404e-06,3.82618269712947e-06,3.11580851121453e-06,4.12572464002347e-06,3.93850762398733e-06,4.10814883909669e-06,4.06031662456021e-06,3.11004234436336e-06,3.94389465457474e-06,3.79420420271606e-06,3.04986568735226e-06,4.08035076735809e-06,3.88492288154647e-06,4.06362437863716e-06,4.01950290635616e-06,3.02338891424676e-06,3.98929324033833e-06,3.68318079639237e-06,3.0362009947464e-06,4.14644678522859e-06,3.79114649598471e-06,4.12118065227946e-06,4.05892958592256e-06,3.59474101504706e-06,3.92957081736527e-06,3.63108274584467e-06,3.64397234717016e-06,4.09791353130162e-06,3.80084486948808e-06,4.12191290652943e-06,4.05280924280109e-06,3.50801963646069e-06,4.32252962379881e-06,4.24391703456705e-06,3.43583887235062e-06,4.50807462379319e-06,4.38720455375611e-06,4.55327370659044e-06,4.50033151969479e-06,3.10064166324811e-06,3.98013243948142e-06,3.80241383368143e-06,3.04407007046898e-06,4.14065273973107e-06,3.90719452092089e-06,4.11863486819859e-06,4.05826952962326e-06,3.10827591192388e-06,3.93769119934855e-06,3.7731616214125e-06,3.06060134521225e-06,4.116858154564e-06,3.89769880198141e-06,4.10432549924631e-06,4.05564487264193e-06,2.84670385328256e-06,3.95215260252e-06,3.75567623438119e-06,2.81526382458955e-06,4.1132372351821e-06,3.61993581964416e-06,4.08153165061403e-06,4.02382350949064e-06,3.02250499058037e-06,3.89480817838125e-06,3.73578898406742e-06,2.96420465132483e-06,4.01839521078415e-06,3.82033280996948e-06,4.00051549197518e-06,3.95489940998859e-06
"5",5.35379797372865e-06,6.03175380099943e-06,5.91130584746486e-06,5.29240463092774e-06,6.16594132062004e-06,6.01733964452797e-06,6.15013234964927e-06,6.11138965705911e-06,5.50888383931461e-06,6.23201066370418e-06,6.10659656971476e-06,5.44349311358584e-06,6.38464205585585e-06,6.21574355839732e-06,6.36918647073942e-06,6.32266835387473e-06,5.43268147297217e-06,6.17339063926813e-06,6.04711955615314e-06,5.37194470507662e-06,6.3043386038975e-06,6.13531268973334e-06,6.28990157299465e-06,6.24685371128334e-06,5.35537179572244e-06,6.24350139529546e-06,5.98329250190174e-06,5.36758505571844e-06,6.39043734864261e-06,6.08749788856395e-06,6.36534082210728e-06,6.30842559622449e-06,5.75956016664624e-06,6.1008616558378e-06,5.9224357155174e-06,5.80284716981593e-06,6.25013145241427e-06,6.08174298745853e-06,6.27644184074176e-06,6.21323308720094e-06,5.85691409215105e-06,6.56545440782834e-06,6.53114701590179e-06,5.78603526906284e-06,6.74443947024237e-06,6.66952039997845e-06,6.79743241175202e-06,6.74073005596984e-06,5.35101087663081e-06,6.22642604648765e-06,6.04419362248396e-06,5.29819276828701e-06,6.37986915974122e-06,6.14383600463844e-06,6.35684711592382e-06,6.30083080817231e-06,5.38813135163768e-06,6.21864472138135e-06,6.04308456260657e-06,5.34138131162429e-06,6.39539688147303e-06,6.16891671798043e-06,6.38049991810803e-06,6.33457647718436e-06,5.19232826042595e-06,6.23262677729463e-06,6.05065241609092e-06,5.15935690576893e-06,6.3803229440136e-06,5.9294563991472e-06,6.35147634161934e-06,6.29845968280093e-06,5.35566919186332e-06,6.09736198908449e-06,5.96596113629492e-06,5.29497235881217e-06,6.21740241956537e-06,6.05266297465407e-06,6.20161101883664e-06,6.15717715885228e-06
"6",5.1538000932291e-06,5.8187199241548e-06,5.69847652771092e-06,5.09191085328895e-06,5.95478513727065e-06,5.80675023294036e-06,5.9388233738513e-06,5.89929260790693e-06,5.35057814208429e-06,6.10929664082098e-06,5.97820878843608e-06,5.28675305404885e-06,6.26488175373089e-06,6.0876504434566e-06,6.24938076910666e-06,6.20138096430634e-06,5.24860485249418e-06,5.98311080562708e-06,5.85719823097482e-06,5.18705913437522e-06,6.1160398641667e-06,5.94733076323596e-06,6.10212977947117e-06,6.05780327679508e-06,5.13968210035225e-06,6.15283699228515e-06,5.75807520724337e-06,5.15254052347713e-06,6.29941035512255e-06,5.86113741818288e-06,6.27805534025652e-06,6.21798154058987e-06,5.53717746679077e-06,5.87284830950498e-06,5.71201063241773e-06,5.58065725797161e-06,6.02318444480876e-06,5.87302464236869e-06,6.04903236443941e-06,5.9855538615112e-06,5.6568228886892e-06,6.34842289775482e-06,6.31460747252489e-06,5.58566981081097e-06,6.53053639474281e-06,6.45599018865929e-06,6.58313231905701e-06,6.52576018572234e-06,5.24174898703493e-06,6.12735520564002e-06,5.95269493697241e-06,5.18871226328869e-06,6.2838361657856e-06,6.05364637219253e-06,6.26315093677478e-06,6.20366192541627e-06,5.26181550324554e-06,6.09907593724172e-06,5.93537821195438e-06,5.21612897464914e-06,6.27614941075777e-06,6.05873225633504e-06,6.26447305576275e-06,6.21582012770881e-06,4.97456738854521e-06,6.12257551147247e-06,5.97049133630322e-06,4.93929298815464e-06,6.27053310609747e-06,5.69906538536213e-06,6.24445944523299e-06,6.1885573710704e-06,5.1594925740839e-06,5.94133132299908e-06,5.80107776362719e-06,5.09779911064567e-06,6.06102069965658e-06,5.88382161328583e-06,6.04642519059894e-06,6.00041095260479e-06
"7",3.7948959069818e-06,4.42593470656598e-06,4.31367236786894e-06,3.73313575558801e-06,4.56383628200066e-06,4.4213562600949e-06,4.54953129496206e-06,4.50769865437544e-06,4.0153779555829e-06,4.78882033598665e-06,4.65683753634195e-06,3.94999826240355e-06,4.94850891018219e-06,4.7658051539564e-06,4.93442165349444e-06,4.88495451402429e-06,3.89884614056784e-06,4.60478822749982e-06,4.48672566552788e-06,3.83921447616275e-06,4.73919727252157e-06,4.5769629526555e-06,4.72853352350891e-06,4.68302980948567e-06,3.83372516264644e-06,4.85442855459403e-06,4.40827216465576e-06,3.72846723950152e-06,4.99663473898292e-06,4.46156209051316e-06,4.98476456122994e-06,4.92208749446425e-06,3.96422385140656e-06,4.46184481304739e-06,4.3286155742299e-06,4.17768380951861e-06,4.61446337410899e-06,4.45602022240626e-06,4.6438003829959e-06,4.57555641160219e-06,4.3010561252803e-06,4.95376300309904e-06,4.92819491037785e-06,4.2327709119248e-06,5.13792060679245e-06,5.07820594215168e-06,5.19239077768727e-06,5.13602250978176e-06,3.91332319429023e-06,4.82066359335002e-06,4.64710590195237e-06,3.86295763291282e-06,4.98030006535773e-06,4.74722147369968e-06,4.9621387666933e-06,4.90134319229137e-06,3.91443569962914e-06,4.77094852423399e-06,4.61243841501956e-06,3.87241250653308e-06,4.94926951219513e-06,4.73062761137556e-06,4.939342805324e-06,4.88981564565734e-06,3.60247371223874e-06,4.81092538752963e-06,4.1771355614059e-06,3.6554313403506e-06,4.95953989981522e-06,4.75953489929385e-06,4.93704975711503e-06,4.87972154369709e-06,3.79620020812161e-06,4.59223579880111e-06,4.45408962793311e-06,3.74039291442147e-06,4.71457264297197e-06,4.5313534133285e-06,4.70189481254006e-06,4.65336337389589e-06
"8",4.8763201823228e-06,5.41132772357482e-06,5.32374860109408e-06,4.81363072421893e-06,5.54330690633187e-06,5.42683482101378e-06,5.53165372911617e-06,5.4906388842959e-06,4.99506906575226e-06,5.66224777318677e-06,5.55018975549482e-06,4.92602779511467e-06,5.81813708766472e-06,5.65904818617366e-06,5.80775703814715e-06,5.75624438634203e-06,4.97702736932132e-06,5.58420941737802e-06,5.49158571692196e-06,4.91658588694684e-06,5.71343702673229e-06,5.57991188082012e-06,5.70599319884285e-06,5.66068394267064e-06,4.93521504087136e-06,5.6467555728848e-06,5.47236632053045e-06,4.83152905561369e-06,5.79677386770777e-06,5.52731999405412e-06,5.77846424909318e-06,5.71769482537571e-06,4.98987039378701e-06,5.40199897820345e-06,5.35851041534372e-06,5.11501540271736e-06,5.54183851012636e-06,5.48375854899377e-06,5.57087414622697e-06,5.50758575962989e-06,5.39787407794868e-06,5.92647704346654e-06,5.94831492388069e-06,5.33039946917658e-06,6.10563706842384e-06,6.09456778393111e-06,6.16786377332646e-06,6.10699156328687e-06,4.68247708136426e-06,5.64589073722909e-06,5.44040218304837e-06,4.64345073027957e-06,5.80159764916712e-06,5.53596754977068e-06,5.78029785002055e-06,5.72244779975782e-06,4.69320003595799e-06,5.61642519473527e-06,5.42609115985345e-06,4.66180786710566e-06,5.78595070007767e-06,5.53385616169298e-06,5.7727533809484e-06,5.72757149803659e-06,4.71248097680746e-06,5.59201649037551e-06,5.25034132114836e-06,4.76173807556918e-06,5.75587502773938e-06,5.46957118828056e-06,5.72171079642302e-06,5.66465695982017e-06,4.87758855948668e-06,5.56761248952896e-06,5.45466025944614e-06,4.8203480173747e-06,5.68646009571328e-06,5.53021303208418e-06,5.67701004179123e-06,5.62759557360444e-06
"9",5.27531162337698e-06,5.78485434306553e-06,5.70229904940191e-06,5.21229477151428e-06,5.91672727031282e-06,5.80600816640138e-06,5.90583711001355e-06,5.86420740859274e-06,5.42227178271572e-06,6.10149326018224e-06,5.98855139941861e-06,5.35436014641299e-06,6.25848306698544e-06,6.09731505654872e-06,6.24857550516232e-06,6.19599231737841e-06,5.38384860432279e-06,5.96720810895142e-06,5.87975710801527e-06,5.3228340426302e-06,6.09653138870431e-06,5.96894703525635e-06,6.09012727492179e-06,6.04395938686404e-06,5.32469560441487e-06,6.10983466448153e-06,5.84377672055801e-06,5.22062112084287e-06,6.25747545890399e-06,5.89989757811548e-06,6.24237888967612e-06,6.17937683711642e-06,5.37257242382867e-06,5.78612381032933e-06,5.73942305794726e-06,5.50629303084665e-06,5.92798616292691e-06,5.86533864304355e-06,5.95598723407726e-06,5.89208608950609e-06,5.79676881338999e-06,6.28780702274287e-06,6.31656932741083e-06,5.72929934342899e-06,6.46783247096031e-06,6.46411341738408e-06,6.52989173426653e-06,6.46834585090145e-06,5.16342498520632e-06,6.09931383632196e-06,5.90391395642349e-06,5.12188321973434e-06,6.25601330269739e-06,6.00018729371794e-06,6.23682017654859e-06,6.17676000798508e-06,5.16168479180537e-06,6.04955380237227e-06,5.87342746686906e-06,5.12850090961502e-06,6.21762770633854e-06,5.97902750414848e-06,6.20704504502507e-06,6.16013191158997e-06,5.1034621527228e-06,6.04534440996898e-06,5.62362731947925e-06,5.15074913089095e-06,6.20610087235888e-06,5.95031532065922e-06,6.17556120419465e-06,6.11687725067766e-06,5.27689988638996e-06,5.97623721736806e-06,5.86292315103912e-06,5.22125985978413e-06,6.09389606378442e-06,5.93525981438412e-06,6.08601053306572e-06,6.03559387774195e-06
"10",4.71207378025183e-06,5.24854185417663e-06,5.15793663073713e-06,4.65112775403522e-06,5.38709026339921e-06,5.26729837611001e-06,5.37839620638213e-06,5.33727716658678e-06,4.90144203016429e-06,5.63690551577681e-06,5.51564726497055e-06,4.83811237955406e-06,5.79902852616223e-06,5.6253925624227e-06,5.7939057879369e-06,5.73923388938845e-06,4.83615213648597e-06,5.45077397141094e-06,5.3560772312596e-06,4.77636437632343e-06,5.58781160691793e-06,5.44863458790798e-06,5.58435169992535e-06,5.53619760751717e-06,4.69801684445086e-06,5.67970684673817e-06,5.28504429586321e-06,4.65576773101437e-06,5.834855069346e-06,5.30818995937457e-06,5.81775391838281e-06,5.76074071310767e-06,4.97590532301377e-06,5.28568333890766e-06,5.19354419073038e-06,5.01823370805923e-06,5.43891619811014e-06,5.31350895065511e-06,5.4660834566371e-06,5.40318207944546e-06,5.22592910617356e-06,5.74418579003564e-06,5.75221330436678e-06,5.16008459236951e-06,5.93490588024135e-06,5.89673765984264e-06,5.99274764701725e-06,5.9357602438507e-06,4.75712760505789e-06,5.66224643389499e-06,5.4861556946452e-06,4.71247116902769e-06,5.82585248062399e-06,5.58443707869936e-06,5.81161230933516e-06,5.74842219213914e-06,4.75797558087058e-06,5.60324304880675e-06,5.44985599670938e-06,4.72113853538295e-06,5.77937050623635e-06,5.55922185584846e-06,5.77487193560075e-06,5.72317480028796e-06,4.56041261903666e-06,5.60027460716776e-06,5.43265591106881e-06,4.52886972078884e-06,5.75989494385275e-06,5.54499724589144e-06,5.73438111352284e-06,5.68051966559773e-06,4.71118257571802e-06,5.48376466610049e-06,5.35480528049242e-06,4.66305745076104e-06,5.60684050625167e-06,5.4257373414916e-06,5.59970871238235e-06,5.54885134996916e-06
