"","sGARCH-norm","sGARCH-std","sGARCH-ged","sGARCH-snorm","sGARCH-sstd","sGARCH-sged","sGARCH-jsu","sGARCH-ghyp","eGARCH-norm","eGARCH-std","eGARCH-ged","eGARCH-snorm","eGARCH-sstd","eGARCH-sged","eGARCH-jsu","eGARCH-ghyp","gjrGARCH-norm","gjrGARCH-std","gjrGARCH-ged","gjrGARCH-snorm","gjrGARCH-sstd","gjrGARCH-sged","gjrGARCH-jsu","gjrGARCH-ghyp","apARCH-norm","apARCH-std","apARCH-ged","apARCH-snorm","apARCH-sstd","apARCH-sged","apARCH-jsu","apARCH-ghyp","csGARCH-norm","csGARCH-std","csGARCH-ged","csGARCH-snorm","csGARCH-sstd","csGARCH-sged","csGARCH-jsu","csGARCH-ghyp","iGARCH-norm","iGARCH-std","iGARCH-ged","iGARCH-snorm","iGARCH-sstd","iGARCH-sged","iGARCH-jsu","iGARCH-ghyp","TGARCH-norm","TGARCH-std","TGARCH-ged","TGARCH-snorm","TGARCH-sstd","TGARCH-sged","TGARCH-jsu","TGARCH-ghyp","AVGARCH-norm","AVGARCH-std","AVGARCH-ged","AVGARCH-snorm","AVGARCH-sstd","AVGARCH-sged","AVGARCH-jsu","AVGARCH-ghyp","NGARCH-norm","NGARCH-std","NGARCH-ged","NGARCH-snorm","NGARCH-sstd","NGARCH-sged","NGARCH-jsu","NGARCH-ghyp","NAGARCH-norm","NAGARCH-std","NAGARCH-ged","NAGARCH-snorm","NAGARCH-sstd","NAGARCH-sged","NAGARCH-jsu","NAGARCH-ghyp"
"1",2.43794996615976e-06,2.66179334523812e-06,2.63901443061899e-06,2.27315855491812e-06,2.4680159844367e-06,2.47193831078699e-06,2.44203180805562e-06,2.43252759511959e-06,2.53717635471862e-06,2.80711627540519e-06,2.7840420919116e-06,2.42562728117682e-06,2.59998682164049e-06,2.60543863566517e-06,2.56291877363241e-06,2.55182214517148e-06,2.5253342868953e-06,2.79167783908987e-06,2.79023682594616e-06,2.39235274434713e-06,2.55981584826816e-06,2.58564430077334e-06,2.5221161534943e-06,2.52372530251741e-06,2.49891927777607e-06,2.96790082617575e-06,2.88496874628124e-06,2.38506967801479e-06,2.56572175402103e-06,2.58981639123247e-06,2.6760073743885e-06,2.51938593295378e-06,2.32871962086058e-06,2.53440805222039e-06,2.5407334531751e-06,2.22819237958021e-06,2.37430142474768e-06,2.40392926814506e-06,2.35610689695863e-06,2.36263020290752e-06,2.52134895898716e-06,2.76293856507696e-06,2.76953821478687e-06,2.38154624084854e-06,2.54275446189788e-06,2.57543238718106e-06,2.50699381918969e-06,2.47282420216769e-06,2.59148310373173e-06,2.74831551776743e-06,2.74457342648763e-06,2.46786146521841e-06,2.56296848699804e-06,2.57632562025445e-06,2.53048550205671e-06,2.51811636471458e-06,2.60340894321404e-06,2.7802921698348e-06,2.85097374677378e-06,2.47636967735784e-06,2.47047008708972e-06,2.61750676077458e-06,2.4262343506347e-06,2.42391791697693e-06,2.4286983178724e-06,2.6819854172021e-06,2.64707004253024e-06,2.31621528243862e-06,2.48977788289079e-06,2.50275481797701e-06,2.4360083862519e-06,2.45288819752906e-06,2.52482565732692e-06,2.78968693927464e-06,2.53957475668533e-06,2.40091103193619e-06,2.57650235996127e-06,2.53898179721574e-06,2.53940003334451e-06,2.53802026133307e-06
"2",3.24377099282257e-06,3.48949403745837e-06,3.48514479459737e-06,3.14432830991401e-06,3.27866389738132e-06,3.29998425820441e-06,3.25303166471123e-06,3.24636202410089e-06,3.39081940839666e-06,3.697751975121e-06,3.67091462990955e-06,3.27737733815961e-06,3.47347095693548e-06,3.47885741072798e-06,3.43387971303014e-06,3.42292059993772e-06,3.33790576828754e-06,3.62179447728551e-06,3.62034590338209e-06,3.20737370931199e-06,3.38153418110501e-06,3.40870347561536e-06,3.34163096294363e-06,3.34473728648937e-06,3.29513834787593e-06,3.82057514394261e-06,3.69973547439181e-06,3.18118652435948e-06,3.44364764272729e-06,3.39001592760712e-06,3.51639805319495e-06,3.39683488032464e-06,3.22027646994647e-06,3.41555945372247e-06,3.44966778605116e-06,3.11339298300883e-06,3.23688828326526e-06,3.28257530509808e-06,3.21320448265163e-06,3.22697430305093e-06,3.32375057124313e-06,3.58404768061516e-06,3.59051156451628e-06,3.18265603554353e-06,3.3484319650202e-06,3.38407372042724e-06,3.31223240863035e-06,3.27876620303963e-06,3.44272578960269e-06,3.66148897034823e-06,3.65087780786629e-06,3.31989365652601e-06,3.45332601667379e-06,3.46682479786699e-06,3.41770306910715e-06,3.405840221734e-06,3.42768009142527e-06,3.67463963349313e-06,3.70405509202303e-06,3.3057905975455e-06,3.39051264626338e-06,3.48561099298151e-06,3.34677709408958e-06,3.34132159873055e-06,3.21381750670964e-06,3.53695422698532e-06,3.44171950955533e-06,3.09990444973226e-06,3.3246493509268e-06,3.29192228372766e-06,3.22787086555896e-06,3.24112353749523e-06,3.36605153177687e-06,3.65510809069483e-06,3.52478637913531e-06,3.24512681216237e-06,3.4319390513117e-06,3.40897534081711e-06,3.39373691633703e-06,3.39356273921264e-06
"3",5.99176375001362e-07,9.50951979985084e-07,1.02210809387033e-06,7.83824638355106e-07,6.6542193998439e-07,7.79319378977242e-07,6.42227299137735e-07,6.49531033772067e-07,7.16175465165623e-07,1.11682133259715e-06,1.08004088384227e-06,5.95414264389869e-07,8.50490437725479e-07,8.5725721910598e-07,8.04125596555339e-07,7.92487585212834e-07,6.70783938889283e-07,1.03212995382594e-06,1.02708004775833e-06,5.57042278303525e-07,7.5972165021403e-07,7.97221739276183e-07,7.0866363521248e-07,7.17868055943458e-07,6.71057240766592e-07,1.17824892049423e-06,1.0369665368405e-06,5.4961368694834e-07,8.43058532611105e-07,7.65192822999356e-07,8.4078271843082e-07,7.90863965962515e-07,8.44099656829774e-07,1.02145694208672e-06,1.12522211540639e-06,7.16585533200878e-07,7.89675371481382e-07,8.92918640433636e-07,7.5540151635362e-07,7.88814523784358e-07,6.75881840463485e-07,1.02272840038148e-06,1.02898140837975e-06,5.29760901685637e-07,7.15448832368907e-07,7.77517384165291e-07,6.7845976874325e-07,6.46493669520975e-07,7.42969725491758e-07,1.11515163758893e-06,1.08699240976941e-06,6.21644801099466e-07,8.55105046773008e-07,8.6963426348403e-07,8.1177320955538e-07,8.00548492813297e-07,7.45594048850955e-07,1.11446623416447e-06,1.1008312693127e-06,6.30919190136374e-07,8.2234199108663e-07,8.73207164374743e-07,7.7666999482931e-07,7.64776295537208e-07,5.72094648368333e-07,9.36113284992577e-07,8.61948886032375e-07,4.52917725541356e-07,6.78013996143693e-07,6.85970183537176e-07,6.78103586946092e-07,6.2266665702924e-07,6.9693112979987e-07,1.0516201906592e-06,1.2607458990228e-06,5.75013939713306e-07,7.96285713948074e-07,8.26089307748934e-07,7.53422112073132e-07,7.53101497802282e-07
"4",1.28177047080758e-06,1.65548126033426e-06,1.73622380514819e-06,1.49796142539963e-06,1.35840219209913e-06,1.49687066210461e-06,1.33626092510522e-06,1.34681419598825e-06,1.28617329448772e-06,1.66276000126886e-06,1.63639286141345e-06,1.15299982953983e-06,1.40078988678601e-06,1.41213460603974e-06,1.35424210745266e-06,1.33847533387825e-06,1.22834281515967e-06,1.57310292369252e-06,1.56646707873895e-06,1.11658631883667e-06,1.31071588388445e-06,1.34953430636493e-06,1.26059619716131e-06,1.26631654656816e-06,1.23723161247156e-06,1.71623958396587e-06,1.55478628071375e-06,1.11249681638978e-06,1.39242000468255e-06,1.32018793273125e-06,1.39455273723389e-06,1.33731929613151e-06,1.47827615889682e-06,1.67781424799555e-06,1.76005773735471e-06,1.35513233909051e-06,1.4544232513697e-06,1.55513349883053e-06,1.42752003270366e-06,1.45450562749963e-06,1.36370195269169e-06,1.72537967000807e-06,1.73158908337272e-06,1.21772776544008e-06,1.40544813335449e-06,1.48005228689605e-06,1.36920928606457e-06,1.33673869166107e-06,1.2891905037299e-06,1.66272860475617e-06,1.64092358308468e-06,1.16255607743474e-06,1.40575988025475e-06,1.42185176063057e-06,1.3620720666957e-06,1.34794169331145e-06,1.28293417546205e-06,1.65169193023951e-06,1.6302163258896e-06,1.16741103937689e-06,1.39372230466188e-06,1.41391257909458e-06,1.34879750632564e-06,1.33119710622925e-06,1.23253765647858e-06,1.66273176303323e-06,1.52413645297722e-06,1.11706084899138e-06,1.38870830191185e-06,1.3536081331334e-06,1.35195806604986e-06,1.29070654229856e-06,1.22640825224997e-06,1.55055964118506e-06,1.72733165801164e-06,1.09181342955248e-06,1.30195590847238e-06,1.33524202233731e-06,1.2589265739989e-06,1.25340194420964e-06
"5",3.12129428647798e-06,3.4738293872557e-06,3.5266787542888e-06,3.21295039104493e-06,3.19425437520056e-06,3.30589775226649e-06,3.17135676226121e-06,3.17828356162213e-06,3.11558549745393e-06,3.46448633675292e-06,3.44304159819721e-06,2.9799748082424e-06,3.21358563391669e-06,3.22646537714485e-06,3.16839579308337e-06,3.15131530769355e-06,3.05799371764409e-06,3.38618338915469e-06,3.37928678808592e-06,2.94349428963618e-06,3.13160351540808e-06,3.1686673195936e-06,3.0836532540013e-06,3.08773959682243e-06,3.06169475546032e-06,3.53157245713615e-06,3.37868679488501e-06,2.9381080754485e-06,3.20071569761393e-06,3.14471217438114e-06,3.22151379911985e-06,3.14561870486762e-06,3.12339577170936e-06,3.36949093323829e-06,3.40073378355169e-06,3.01572863571992e-06,3.17115517108225e-06,3.23508996966403e-06,3.15346968908941e-06,3.16473003777142e-06,3.21015776208587e-06,3.55427132929247e-06,3.56095298753083e-06,3.06466672984256e-06,3.24886487351942e-06,3.3202807945569e-06,3.21287889794452e-06,3.17923266758706e-06,3.11378464837069e-06,3.45557947002722e-06,3.43906388717896e-06,2.98523000963181e-06,3.21197858181507e-06,3.22869273802391e-06,3.16986004927072e-06,3.15457243207666e-06,3.1172042090946e-06,3.45810337632532e-06,3.45002290134319e-06,2.99953580885338e-06,3.15682498764224e-06,3.23331617395981e-06,3.10914741959899e-06,3.09313262844393e-06,3.0628601834774e-06,3.51681277924834e-06,3.34202900132444e-06,2.9488439274341e-06,3.2496176968612e-06,3.17790259539167e-06,3.15964008839656e-06,3.11921878968034e-06,3.02484909591412e-06,3.32275407838278e-06,3.3845328997721e-06,2.88608760758937e-06,3.08420042815e-06,3.10547313693215e-06,3.04221718522141e-06,3.03490985875334e-06
"6",2.61259837208361e-06,2.99488130496882e-06,3.07040040750164e-06,2.50777515635908e-06,2.68760299860598e-06,2.83795509515595e-06,2.66848491229905e-06,2.69469347663835e-06,2.66735853556006e-06,3.06678861104823e-06,3.03682311085614e-06,2.53010682381311e-06,2.79132296458059e-06,2.80135254062504e-06,2.74206671197832e-06,2.72764915905749e-06,2.57455536488215e-06,2.93095629766196e-06,2.91923933695461e-06,2.45923998082091e-06,2.66036714153212e-06,2.69639736827545e-06,2.62717898830126e-06,2.62126204176966e-06,2.55222679492386e-06,3.06647913789958e-06,2.90466299738578e-06,2.44876775003448e-06,2.7851865141137e-06,2.79884001885181e-06,2.73901617050689e-06,2.73120164783525e-06,2.59695067711915e-06,2.85826084170101e-06,2.89176680899938e-06,2.48724332060811e-06,2.62584419297689e-06,2.70358733533354e-06,2.61346276716381e-06,2.61825840518486e-06,2.70064076706631e-06,3.06519207206511e-06,3.07202029133441e-06,2.55000153083008e-06,2.74016507767684e-06,2.81831159016343e-06,2.70452961808525e-06,2.68643026383936e-06,2.66771128706898e-06,3.08030801427039e-06,3.05179276028502e-06,2.53876752381187e-06,2.80732427458955e-06,2.82369283073459e-06,2.76072651027491e-06,2.74843201152853e-06,2.65437960547448e-06,3.06736216961611e-06,3.02215001968623e-06,2.53817634206362e-06,2.79742141522087e-06,2.81301435122633e-06,2.73268217606139e-06,2.72404389515456e-06,2.52933555167249e-06,3.05729687017411e-06,2.81738409393252e-06,2.43310650727771e-06,2.76673454595316e-06,2.6196585319931e-06,2.58941190573595e-06,2.73149055949545e-06,2.571529399496e-06,2.93139358438919e-06,3.08763033340614e-06,2.43833264416074e-06,2.64983928807013e-06,2.8342026025936e-06,2.60824051691652e-06,2.60215687846407e-06
"7",2.88388047055994e-06,3.2415392206857e-06,3.27131279130592e-06,2.77230499184782e-06,2.95226322887739e-06,3.04735172291326e-06,2.93095445125102e-06,2.95031931616326e-06,2.99863276666951e-06,3.40699356790109e-06,3.37222259742611e-06,2.86485272698607e-06,3.12909957506558e-06,3.13541490415806e-06,3.07967995628407e-06,3.06682037474934e-06,2.88392033707944e-06,3.23774669926344e-06,3.22372554099314e-06,2.76418457544469e-06,2.96486065731427e-06,2.9974347297684e-06,2.93220726251527e-06,2.92708752581281e-06,2.84668443939682e-06,3.40296287763223e-06,3.22462706199099e-06,2.74192007464604e-06,3.1178627694766e-06,3.12627561981138e-06,3.07133716538332e-06,3.06569374832579e-06,2.73009844561641e-06,2.98788091907529e-06,3.00783736828148e-06,2.62078357190129e-06,2.78945375985008e-06,2.83504984064525e-06,2.77655739186746e-06,2.77185856882307e-06,2.97861208388371e-06,3.32622205257847e-06,3.3347857381178e-06,2.82667544439235e-06,3.01454590450269e-06,3.08455825917903e-06,2.97831450807944e-06,2.95885901395579e-06,3.01265441491512e-06,3.42332679558764e-06,3.39252135362921e-06,2.88406565595217e-06,3.14833880406326e-06,3.16246995548764e-06,3.10167674977536e-06,3.09044636456396e-06,2.94723372816411e-06,3.39017853292769e-06,3.30908845470111e-06,2.83181522544399e-06,3.11941949603475e-06,3.10313119005124e-06,3.09813657066063e-06,3.08914563587773e-06,2.80498502835494e-06,3.32881938135885e-06,3.08324869396504e-06,2.7058826985114e-06,3.04373762889756e-06,2.88965133244235e-06,2.85078601966303e-06,3.00829148391071e-06,2.91005019036668e-06,3.28027950423974e-06,3.3649071344666e-06,2.78326507522529e-06,2.99773930604917e-06,3.12092459133523e-06,2.95648324531651e-06,2.95184525147173e-06
"8",2.33634241332404e-06,2.69600013051806e-06,2.71499246303638e-06,2.22161594644896e-06,2.40525495803355e-06,2.48564623164203e-06,2.38302880081716e-06,2.40086430388803e-06,2.51431207606039e-06,2.95365238122576e-06,2.91201737362576e-06,2.38164545923325e-06,2.66348927029407e-06,2.66702633719517e-06,2.61217215213849e-06,2.60045748444033e-06,2.36399897380632e-06,2.73011501721349e-06,2.71418940758688e-06,2.24327392143694e-06,2.4502084971421e-06,2.48197587615065e-06,2.41694783445867e-06,2.41282492074524e-06,2.30651482060962e-06,2.95569605096055e-06,2.71336434100157e-06,2.20244491295929e-06,2.65337233978632e-06,2.6566806492127e-06,2.60464627498527e-06,2.60180116285466e-06,2.18576845356457e-06,2.44412337324163e-06,2.46652853598094e-06,2.07673319940898e-06,2.23520385943999e-06,2.28508444430451e-06,2.22211694021892e-06,2.22032130717158e-06,2.43480560389828e-06,2.78615551914966e-06,2.79546559534055e-06,2.28055317864605e-06,2.47125768625192e-06,2.53938413784405e-06,2.43429107441177e-06,2.41440280141511e-06,2.53486867469623e-06,2.98485657453954e-06,2.9464822670239e-06,2.40732572697748e-06,2.69508067745232e-06,2.70736793751512e-06,2.64628340387231e-06,2.63614305542569e-06,2.44146776861643e-06,2.93552256197515e-06,2.82161074466756e-06,2.32852735459222e-06,2.65235419189283e-06,2.61363405215597e-06,2.66542582568067e-06,2.65448837763701e-06,2.2449666231972e-06,2.8149716825289e-06,2.52581080126074e-06,2.14445111854622e-06,2.5204756622293e-06,2.32950947464958e-06,2.28585219489629e-06,2.48467406539161e-06,2.42208159810538e-06,2.8171893787423e-06,2.91730426170524e-06,2.30040760932112e-06,2.52450991339396e-06,2.66780518343892e-06,2.48356560350574e-06,2.47936225856288e-06
"9",1.60291550367327e-06,1.93093395044507e-06,1.90620615730228e-06,1.48191594235178e-06,1.66290915889153e-06,1.68953825656815e-06,1.63860316690007e-06,1.64911568285295e-06,1.81363116669945e-06,2.24539585946294e-06,2.2006393032049e-06,1.68574922949239e-06,1.96023690564843e-06,1.9596389966027e-06,1.9099965797257e-06,1.90000733644939e-06,1.66603957101163e-06,2.02272619487154e-06,2.0045823978395e-06,1.54017577534018e-06,1.74338384954006e-06,1.77112568213269e-06,1.71112670639628e-06,1.70760633599262e-06,1.60212014099338e-06,2.23819256111897e-06,2.02627118820796e-06,1.49621041309449e-06,1.94352657790144e-06,1.94348866305315e-06,1.89591818549987e-06,1.89394328450498e-06,1.35819444959143e-06,1.60447790131367e-06,1.61667931684869e-06,1.24994550208489e-06,1.42424066545379e-06,1.45140294745056e-06,1.40964064282502e-06,1.40313451071559e-06,1.70666355361967e-06,2.03461183230563e-06,2.0455999237253e-06,1.55214901697208e-06,1.7382894133179e-06,1.79716545089008e-06,1.70099319455778e-06,1.6797089729973e-06,1.85103291548255e-06,2.26805588878938e-06,2.23141724548319e-06,1.72327498626774e-06,1.9863282576204e-06,1.9962072373893e-06,1.93901867930517e-06,1.92982195160915e-06,1.7367857450883e-06,2.19922792681097e-06,2.08804527775204e-06,1.61870145532679e-06,1.92393083485941e-06,1.88009115279538e-06,1.97995750817796e-06,1.97037174750207e-06,1.52576747768114e-06,2.05108153875587e-06,1.79349927979164e-06,1.42241472473e-06,1.77152620511417e-06,1.6033686417118e-06,1.55225706397083e-06,1.73564569941193e-06,1.74266980219057e-06,2.13839849514909e-06,2.12802462562271e-06,1.62709939698782e-06,1.85019152714969e-06,1.89408965607201e-06,1.80944486329202e-06,1.80715103407533e-06
"10",1.09887117381156e-06,1.39243905742595e-06,1.33220219760634e-06,9.73848449952785e-07,1.14952457290171e-06,1.13411456284784e-06,1.12373628398394e-06,1.12785048725446e-06,1.3069751233798e-06,1.70379271708216e-06,1.66102959395337e-06,1.18295707796563e-06,1.43609058283609e-06,1.43519218872843e-06,1.38859961630859e-06,1.37909076311252e-06,1.18530868613593e-06,1.52671296523476e-06,1.50693969398502e-06,1.05520320292557e-06,1.25167110650525e-06,1.2760831463232e-06,1.22069524336145e-06,1.21734995352671e-06,1.12034105105042e-06,1.68669380055689e-06,1.55236470369903e-06,1.01259153658398e-06,1.41597624641317e-06,1.41830056974964e-06,1.37131319721999e-06,1.36761955069102e-06,8.16887126403022e-07,1.04159700560839e-06,1.04912738678464e-06,7.10698544579919e-07,8.81338118512818e-07,9.00459590158138e-07,8.6414476137881e-07,8.59046715734283e-07,1.20633908424702e-06,1.50679475625056e-06,1.51902826041725e-06,1.05309350783927e-06,1.2324553260093e-06,1.28364650994395e-06,1.19536668165374e-06,1.17281874297407e-06,1.35262360891206e-06,1.70730284132775e-06,1.67751958053683e-06,1.22471184678545e-06,1.44843747272398e-06,1.4587983186229e-06,1.40445051346232e-06,1.39509699981513e-06,1.26640110254845e-06,1.67515044740352e-06,1.59773415737361e-06,1.14524568447911e-06,1.41454024285855e-06,1.3914887719185e-06,1.35557328630949e-06,1.35229246805874e-06,1.03395675091072e-06,1.50793906145139e-06,1.28635517058364e-06,9.28344369408098e-07,1.2515856847054e-06,1.1043868697348e-06,1.04709039129681e-06,1.21610116054899e-06,1.23952222196754e-06,1.61446989889536e-06,1.46378165056529e-06,1.12527943107305e-06,1.33940689341307e-06,1.25186301091057e-06,1.29840397761315e-06,1.2976989932373e-06
