"","sGARCH-norm","sGARCH-std","sGARCH-ged","sGARCH-snorm","sGARCH-sstd","sGARCH-sged","sGARCH-jsu","sGARCH-ghyp","eGARCH-norm","eGARCH-std","eGARCH-ged","eGARCH-snorm","eGARCH-sstd","eGARCH-sged","eGARCH-jsu","eGARCH-ghyp","gjrGARCH-norm","gjrGARCH-std","gjrGARCH-ged","gjrGARCH-snorm","gjrGARCH-sstd","gjrGARCH-sged","gjrGARCH-jsu","gjrGARCH-ghyp","apARCH-norm","apARCH-std","apARCH-ged","apARCH-snorm","apARCH-sstd","apARCH-sged","apARCH-jsu","apARCH-ghyp","csGARCH-norm","csGARCH-std","csGARCH-ged","csGARCH-snorm","csGARCH-sstd","csGARCH-sged","csGARCH-jsu","csGARCH-ghyp","iGARCH-norm","iGARCH-std","iGARCH-ged","iGARCH-snorm","iGARCH-sstd","iGARCH-sged","iGARCH-jsu","iGARCH-ghyp","TGARCH-norm","TGARCH-std","TGARCH-ged","TGARCH-snorm","TGARCH-sstd","TGARCH-sged","TGARCH-jsu","TGARCH-ghyp","AVGARCH-norm","AVGARCH-std","AVGARCH-ged","AVGARCH-snorm","AVGARCH-sstd","AVGARCH-sged","AVGARCH-jsu","AVGARCH-ghyp","NGARCH-norm","NGARCH-std","NGARCH-ged","NGARCH-snorm","NGARCH-sstd","NGARCH-sged","NGARCH-jsu","NGARCH-ghyp","NAGARCH-norm","NAGARCH-std","NAGARCH-ged","NAGARCH-snorm","NAGARCH-sstd","NAGARCH-sged","NAGARCH-jsu","NAGARCH-ghyp"
"1",1.64110373446167e-06,2.01450580834043e-06,1.91695538207046e-06,1.4418906256011e-06,1.74603192660047e-06,1.71813643212604e-06,1.69781674538849e-06,1.66881750249816e-06,1.81297319206417e-06,2.21524005544808e-06,2.13738669087267e-06,1.591681088945e-06,1.89927682483521e-06,1.87242158910023e-06,1.85357998817846e-06,1.82179476250057e-06,1.61349224836508e-06,1.99722050422659e-06,1.90272074695708e-06,1.40195109523522e-06,1.72676518879576e-06,1.66879619962157e-06,1.67396762615619e-06,1.64462719207559e-06,1.65099232794923e-06,2.15914785030675e-06,1.87296579746743e-06,1.42714388378282e-06,1.8549814201084e-06,1.66182174080473e-06,1.84277894748558e-06,1.64566968069587e-06,1.66198027868686e-06,1.85975471360898e-06,2.02276665444907e-06,1.55048810727738e-06,1.65280860552328e-06,1.76404845487864e-06,1.66178644556905e-06,1.67610802928699e-06,1.86738134649017e-06,2.03883602246134e-06,2.10184814266161e-06,1.64975845479006e-06,1.79690531914677e-06,1.8387369747693e-06,1.79572037482165e-06,1.69706871961834e-06,1.79721367478966e-06,2.14358992950913e-06,7.84584297965284e-07,1.56340372141631e-06,1.83504361414639e-06,7.84584297965284e-07,1.80143121936489e-06,1.77221340673835e-06,1.80191486720889e-06,2.17699284025657e-06,7.86601271366019e-07,1.55450497302502e-06,1.85745622583349e-06,7.86601271366019e-07,1.82216854737739e-06,1.79334939472162e-06,1.61262221497323e-06,2.19465312034823e-06,1.86345209078236e-06,1.43782114188661e-06,1.9398203390556e-06,1.6593127671332e-06,1.3771103647601e-06,1.86761126462508e-06,1.54452919285879e-06,1.98264330890895e-06,1.85378907618689e-06,1.3581920263941e-06,1.7291319870056e-06,1.62239266892875e-06,1.65687140260315e-06,1.62795801220842e-06
"2",2.15894224399973e-06,2.50845973934169e-06,2.41617358518674e-06,1.95406183695598e-06,2.24796105909201e-06,2.22271904569236e-06,2.20010466490899e-06,2.17123692767152e-06,2.32697989342835e-06,2.71370116002974e-06,2.64187615166356e-06,2.10451660855269e-06,2.40496818653207e-06,2.38308030954951e-06,2.360196213692e-06,2.32833550019898e-06,2.13359339331648e-06,2.49263289719888e-06,2.40471356637893e-06,1.91879885538099e-06,2.23126028591501e-06,2.1764127784485e-06,2.17891869474377e-06,2.14990017277922e-06,2.17901132231044e-06,2.66400140719059e-06,2.38381696843782e-06,1.9562326660347e-06,2.36395681146213e-06,2.17548741464065e-06,2.37969045470015e-06,1.84772284660203e-06,2.15138912659181e-06,2.31863253748313e-06,2.39137690274839e-06,1.94503072709636e-06,2.11307900278565e-06,2.14511692516092e-06,2.09883838269222e-06,2.10920895187909e-06,2.39592716128155e-06,2.53269443647304e-06,2.59299265940635e-06,2.17196252263502e-06,2.2981283499745e-06,2.33937714393254e-06,2.29596384240616e-06,2.19878950259277e-06,2.31536707965949e-06,2.64536347053586e-06,1.29524861708174e-06,2.0789519915925e-06,2.34197993802159e-06,1.29524861708174e-06,2.30948902385484e-06,2.27927300518711e-06,2.31218234081182e-06,2.66063520025389e-06,1.29619705505625e-06,2.07112943043639e-06,2.35319547461433e-06,1.29619705505625e-06,2.32010645669913e-06,2.28973791744548e-06,2.14289486384057e-06,2.68393508229915e-06,2.37500981289114e-06,1.96817297759349e-06,2.43454252899083e-06,2.17475991466254e-06,1.88498747833764e-06,2.34313931914042e-06,2.08760867278798e-06,2.50038531041566e-06,2.37834270359585e-06,1.89665791275822e-06,2.25940353608108e-06,2.15549875481631e-06,2.18644108033022e-06,2.15729445934471e-06
"3",1.21679004096344e-06,1.58373978997565e-06,1.49317096569131e-06,1.01307386211491e-06,1.30505002403264e-06,1.27967647736524e-06,1.25802476470251e-06,1.22814617347081e-06,1.39271921293303e-06,1.81338627246274e-06,1.73915098764674e-06,1.17315854652777e-06,1.4919017999697e-06,1.46726314248682e-06,1.446120099071e-06,1.41294513989788e-06,1.20879016132702e-06,1.57414088357402e-06,1.49179957786488e-06,1.00488451036746e-06,1.29934100680231e-06,1.25154788064918e-06,1.24914504756151e-06,1.21847164841147e-06,1.20393661760956e-06,1.80272197712699e-06,1.43537495947039e-06,9.88936487565102e-07,1.48998037595853e-06,1.22062306449243e-06,1.50180757331612e-06,1.24300123153714e-06,1.24535295782529e-06,1.4723168066472e-06,1.61254639114952e-06,1.09532587675468e-06,1.24135943105804e-06,1.32332329673811e-06,1.24409962145665e-06,1.25590125606595e-06,1.42841898824147e-06,1.60659802542101e-06,1.66283593209898e-06,1.20245737392899e-06,1.35317593636207e-06,1.38824888679852e-06,1.34947918383071e-06,1.25348654997818e-06,1.3930830323131e-06,1.77521361706706e-06,3.46218120675284e-07,1.16265687955329e-06,1.45630477686419e-06,3.46218120675284e-07,1.42193635556991e-06,1.39111859963566e-06,1.36877382608209e-06,1.78415082886899e-06,3.48232205282454e-07,1.12655570888521e-06,1.46343456277362e-06,3.48232205282454e-07,1.42851787259422e-06,1.39741445016646e-06,1.17871018738894e-06,1.76307515810456e-06,1.42897023142785e-06,1.00038327939792e-06,1.50001176860578e-06,1.21856539113937e-06,9.70603041741905e-07,1.42457905987268e-06,1.2155219903427e-06,1.61596136779846e-06,1.50594670312154e-06,1.01175564612617e-06,1.35790633301474e-06,1.26743760979223e-06,1.28763119029018e-06,1.25644753004174e-06
"4",1.46144689410612e-06,1.80663016282498e-06,1.72347080306187e-06,1.26174599398226e-06,1.53999517075638e-06,1.5022316731067e-06,1.49175769850698e-06,1.46322518626519e-06,1.6354711067992e-06,2.02291525249141e-06,1.95607001976934e-06,1.41840955000702e-06,1.71809003352465e-06,1.69751936151419e-06,1.67450168432491e-06,1.64251044733609e-06,1.45795698701112e-06,1.8028485956796e-06,1.7199159571627e-06,1.25060878260377e-06,1.52848257829921e-06,1.50096530108597e-06,1.48241832030279e-06,1.45333731417479e-06,1.4553023589587e-06,1.99299425389757e-06,1.6717912942716e-06,1.2466576370256e-06,1.38258706284182e-06,1.47041844303242e-06,1.38666579548775e-06,1.40215131014925e-06,1.47142694418879e-06,1.61900617112908e-06,1.68510937461577e-06,1.25935282526797e-06,1.40922648432661e-06,1.45299980751176e-06,1.44115216741746e-06,1.40311240677849e-06,1.6829512834084e-06,1.83144159963792e-06,1.88453307250076e-06,1.46125849044293e-06,1.58709428413357e-06,1.62133975436684e-06,1.58303096707358e-06,1.48912935372838e-06,1.63064763617107e-06,1.97200201758568e-06,5.98678837935458e-07,1.40116594406917e-06,1.66994289301421e-06,5.98678837935458e-07,1.63802221582808e-06,1.60775155777003e-06,1.62600114959976e-06,1.99605850320405e-06,6.01132560991202e-07,1.38170168945324e-06,1.68462277738919e-06,6.01132560991202e-07,1.65171834368671e-06,1.59178973686778e-06,1.44544517600417e-06,1.41063403764997e-06,1.66985136389224e-06,1.25533507564087e-06,1.72943709545091e-06,1.45083739974223e-06,1.38276025283926e-06,1.64254594986228e-06,1.45415976031194e-06,1.82764117228388e-06,1.72142959911968e-06,1.2461711668198e-06,1.579319893882e-06,1.4979610403087e-06,1.5196239685071e-06,1.48412070150175e-06
"5",1.56415356210921e-06,1.88265885875231e-06,1.80574566680447e-06,1.36141297790213e-06,1.62582771690165e-06,1.59309535409123e-06,1.57792189534856e-06,1.54997740179135e-06,1.71912278931612e-06,2.08014364727773e-06,2.0207911845845e-06,1.49991762163991e-06,1.78633714579686e-06,1.77219189214135e-06,1.74407594729905e-06,1.7123575069164e-06,1.56107826871892e-06,1.87957392011848e-06,1.80281950989224e-06,1.35087484628537e-06,1.61522518093225e-06,1.59170899475031e-06,1.57026680923969e-06,1.54164146221425e-06,1.57100052769505e-06,2.03890968867375e-06,1.76920285223025e-06,1.36330439496403e-06,1.48498717483527e-06,1.57159901821903e-06,1.48738749169901e-06,1.5007288933897e-06,1.56179897830817e-06,1.68076532991885e-06,1.76317085278273e-06,1.35453192336915e-06,1.48011633382069e-06,1.53861821535029e-06,1.51456788631344e-06,1.47227917137388e-06,1.79674335382837e-06,1.90682272561212e-06,1.957997423901e-06,1.57006476684191e-06,1.67226464777908e-06,1.70686287919343e-06,1.66727044415931e-06,1.57520330165251e-06,1.71469989111936e-06,2.0233607671472e-06,6.83827722736001e-07,1.48036342270647e-06,1.73084273424925e-06,6.83827722736001e-07,1.70069929140014e-06,1.66954529342969e-06,1.7296179635721e-06,2.03428458716583e-06,6.84791468865696e-07,1.49136581990878e-06,1.74147909862471e-06,6.84791468865696e-07,1.71142244544948e-06,1.67910948369334e-06,1.56316172805398e-06,1.49111873009645e-06,1.7679915901871e-06,1.37222317210128e-06,1.79311840351432e-06,1.55408458596155e-06,1.48170860976546e-06,1.67289275713148e-06,1.55636546663605e-06,1.91588461386399e-06,1.8136723038943e-06,1.35335772394022e-06,1.68059277587429e-06,1.59999291173273e-06,1.62084144280172e-06,1.58521810624603e-06
"6",9.48383571366884e-07,1.24383979909457e-06,1.1730097357647e-06,7.42826427632151e-07,9.9324168326455e-07,9.65026440023868e-07,9.45865171689327e-07,9.1818893530781e-07,1.09794600730026e-06,1.44499790285903e-06,1.39104025343657e-06,8.77890696766438e-07,1.15672716344295e-06,1.14687998358806e-06,1.1153216558564e-06,1.08355812616395e-06,9.46565490673547e-07,1.24182601115816e-06,1.17142056284427e-06,7.34150363082509e-07,9.84158369914458e-07,9.64667642184306e-07,9.40299572688206e-07,9.11792801424251e-07,9.62021830822686e-07,1.40999290938342e-06,1.14492713915001e-06,7.55276731846636e-07,8.65095781687306e-07,9.49893219578684e-07,8.6597620996999e-07,8.76901779767244e-07,9.47943771647791e-07,1.05508411189351e-06,1.16530177764573e-06,7.58539708745653e-07,8.57942246299454e-07,9.41318908399906e-07,9.03474169925313e-07,8.54232934359426e-07,1.18586861251728e-06,1.26734205994697e-06,1.31587506102149e-06,9.54178241546986e-07,1.03865089962523e-06,1.07233025480328e-06,1.03247327621305e-06,9.42328793400942e-07,1.09657205464366e-06,1.3912285091109e-06,6.25688128700318e-08,8.60488636087334e-07,1.10260533847893e-06,6.25688128700318e-08,1.07340364996096e-06,1.04158019676067e-06,1.10149564521571e-06,1.38433576796474e-06,6.27998843128633e-08,8.70738961472597e-07,1.10364483067812e-06,6.27998843128633e-08,1.0753740246945e-06,1.03501892809085e-06,9.56299551415768e-07,8.60142102522215e-07,1.14438159852712e-06,7.64488588595006e-07,1.1537886222163e-06,9.34449953157898e-07,8.58852140922154e-07,1.02381513221136e-06,9.5133756539753e-07,1.29620460543695e-06,1.19937506641175e-06,7.50746149608165e-07,1.07057440784257e-06,9.92876378035799e-07,1.01126311799562e-06,9.74601703675394e-07
"7",1.4547942704108e-06,1.71039996109237e-06,1.65385906847907e-06,1.25031009403972e-06,1.47533502455039e-06,1.44770746812291e-06,1.43478925173897e-06,1.40104328673609e-06,1.58993415399387e-06,1.91690202542832e-06,1.86512355986487e-06,1.37163658505877e-06,1.63616426366656e-06,1.62612606860801e-06,1.59574780234289e-06,1.56451502990204e-06,1.44422483797164e-06,1.70969756905748e-06,1.64626049249477e-06,1.23623483740928e-06,1.46908326138529e-06,1.42306230898858e-06,1.42115167617751e-06,1.38911842348957e-06,1.45928831363019e-06,1.86361483510349e-06,1.63350094854419e-06,1.25363833963412e-06,1.58365792683632e-06,1.43712980586589e-06,1.35128144984476e-06,1.34936969197453e-06,1.49944005956372e-06,1.58051794669038e-06,1.69836624473712e-06,1.31214596605106e-06,1.40527907828946e-06,1.48815389056946e-06,1.38276293392836e-06,1.38492336096982e-06,1.68313385018873e-06,1.73798894818776e-06,1.77841186119288e-06,1.43888442286255e-06,1.52177716828796e-06,1.55936085773671e-06,1.50931575463754e-06,1.42557052219019e-06,1.57809278193135e-06,1.84789433118998e-06,5.7332186896174e-07,1.34601841597575e-06,1.56878368237306e-06,5.7332186896174e-07,1.54047767107837e-06,1.50920022690731e-06,1.5928603685165e-06,1.84989994293357e-06,5.73306265113056e-07,1.35544978085878e-06,1.57397875626736e-06,5.73306265113056e-07,1.54616751260864e-06,1.51472747064797e-06,1.45174882005518e-06,1.87050057509687e-06,1.6308078287048e-06,1.267060827076e-06,1.58714982709046e-06,1.4137834321681e-06,1.34388128988065e-06,1.52257299358107e-06,1.42738118182525e-06,1.73290251194567e-06,1.64895121379432e-06,1.22632438156108e-06,1.50931876328361e-06,1.44223896823026e-06,1.44880593566675e-06,1.42066962100532e-06
"8",1.36920442400468e-06,1.5994456297899e-06,1.54992414802807e-06,1.16197720567697e-06,1.37147458697735e-06,1.34816686235817e-06,1.33194517942533e-06,1.29799367900498e-06,1.48990512616451e-06,1.79767429591167e-06,1.75218407072359e-06,1.27036066733326e-06,1.52433232909032e-06,1.519239280551e-06,1.48499637634875e-06,1.45382490567455e-06,1.35975684381259e-06,1.59953517727816e-06,1.54339281085669e-06,1.1501066027183e-06,1.36686798006366e-06,1.32596816257494e-06,1.3198848050873e-06,1.28763938159262e-06,1.38321008274594e-06,1.74332601340835e-06,1.54064246330298e-06,1.17683527637565e-06,1.46713497720424e-06,1.34685625540425e-06,1.26086304292791e-06,1.25639879789546e-06,1.3811715363657e-06,1.47946402551447e-06,1.57117557724982e-06,1.1901777800371e-06,1.30413372881597e-06,1.36240473246894e-06,1.28273082155135e-06,1.28146218842846e-06,1.60058801750873e-06,1.62611195059152e-06,1.66281478296697e-06,1.35048551829044e-06,1.41653129827191e-06,1.45339808476613e-06,1.40232925025589e-06,1.32119360153219e-06,1.47969448510985e-06,1.72804233638544e-06,4.74971839243348e-07,1.24507250150315e-06,1.45490986908362e-06,4.74971839243348e-07,1.42784315034532e-06,1.39586995482851e-06,1.50539952708608e-06,1.71217471106468e-06,4.74107840587955e-07,1.26257601751335e-06,1.45044411116003e-06,4.74107840587955e-07,1.42480290938923e-06,1.39223023420968e-06,1.37585540035009e-06,1.7456103185175e-06,1.53865858223169e-06,1.19073207728885e-06,1.45113306597173e-06,1.32501863239106e-06,1.25327478904578e-06,1.38698231003372e-06,1.35337986396917e-06,1.6349844490977e-06,1.55854837250721e-06,1.15048937370086e-06,1.42229395993843e-06,1.35877582083454e-06,1.36161380279872e-06,1.33330736997019e-06
"9",1.21607106341905e-06,1.41936044184748e-06,1.37756655262769e-06,1.00719255680543e-06,1.19910823083869e-06,1.18069781792084e-06,1.16076774761909e-06,1.1266256519824e-06,1.31506278144856e-06,1.59950490860845e-06,1.56091065170316e-06,1.09446433991465e-06,1.3349580339893e-06,1.33524962252638e-06,1.29687996549938e-06,1.26590569610154e-06,1.20768212888124e-06,1.42005690092597e-06,1.37188311556292e-06,9.97476843595234e-07,1.19590752180408e-06,1.16064086038598e-06,1.15007149349039e-06,1.1176470050083e-06,1.23880057234399e-06,1.53748919576961e-06,1.37992697828751e-06,1.03165341352232e-06,1.26412519460136e-06,1.1887625616105e-06,1.10295923663255e-06,1.09581247145072e-06,1.23431930111918e-06,1.31702539318054e-06,1.41006844786002e-06,1.04421699773579e-06,1.14513816465608e-06,1.20887907070215e-06,1.12331872812671e-06,1.1223887264372e-06,1.44841917826231e-06,1.4449806213148e-06,1.47814146284639e-06,1.19311421691903e-06,1.24261430298562e-06,1.278746346287e-06,1.22671293426176e-06,1.14837141706613e-06,1.30521617436811e-06,1.52621649531949e-06,3.04028078999037e-07,1.06781650303469e-06,1.26078852583572e-06,3.04028078999037e-07,1.23520139135283e-06,1.20263177126378e-06,1.35202071585223e-06,1.49939572482789e-06,3.02283115593845e-07,1.10492017259756e-06,1.25383218855586e-06,3.02283115593845e-07,1.23053922095754e-06,1.1975972633607e-06,1.23157973653909e-06,1.54402591223344e-06,1.3786197595077e-06,1.04606767756655e-06,1.23500797188188e-06,1.16840957042059e-06,1.09539216959414e-06,1.17172882842522e-06,1.20632791045913e-06,1.46309385737867e-06,1.39407883620066e-06,1.00220766953735e-06,1.26110067526678e-06,1.20095959735047e-06,1.20057679667078e-06,1.17231173771777e-06
"10",1.73002914334822e-06,1.89195305438329e-06,1.86086601755188e-06,1.5221579169687e-06,1.67779793307412e-06,1.68894368522583e-06,1.64233839125266e-06,1.61217280851826e-06,1.80885627537712e-06,2.05365426354339e-06,2.02311008579124e-06,1.59316113733171e-06,1.810989021709e-06,1.81733636973136e-06,1.77452372466759e-06,1.74351636551142e-06,1.72290695039084e-06,1.88998747894389e-06,1.8566208012769e-06,1.51389783719553e-06,1.67856974755831e-06,1.68274213297561e-06,1.63642845049753e-06,1.60406476332001e-06,1.75054350159992e-06,1.96783195554939e-06,1.88525070429038e-06,1.55316620841558e-06,1.71717902430335e-06,1.69829166609108e-06,1.61340517653969e-06,1.59422686574242e-06,1.73298050445959e-06,1.81945766746017e-06,1.86858086368379e-06,1.57467127102192e-06,1.61858015147283e-06,1.72499827626073e-06,1.61590985671269e-06,1.60121570550984e-06,1.96651097099586e-06,1.91526992023156e-06,1.95108094168473e-06,1.6956946407927e-06,1.72238289451774e-06,1.74897370489389e-06,1.70959812630116e-06,1.62940391001142e-06,1.79293069375833e-06,1.96403418611691e-06,8.1336801707011e-07,1.56113223016764e-06,1.72083060994372e-06,8.1336801707011e-07,1.69732406819202e-06,1.66319103835143e-06,1.86174145000252e-06,1.94286815809291e-06,8.12475846027199e-07,1.61085502538372e-06,1.72097213949458e-06,8.12475846027199e-07,1.69901160939413e-06,1.72063076170311e-06,1.75481602281414e-06,1.93226751305701e-06,1.88709642751474e-06,1.56139663547411e-06,1.65706544484085e-06,1.69259910966893e-06,1.6199563670557e-06,1.59520768369021e-06,1.71909529885744e-06,1.92275022394997e-06,1.87730289190194e-06,1.51488278066574e-06,1.72245082669439e-06,1.69122324213065e-06,1.68174767608776e-06,1.64353670234141e-06
